11/05/2018 05:53:41 AM - INFO - Symbol: IVO number of records: 1752
11/05/2018 05:53:41 AM - INFO - Symbol: GTE number of records: 1955
11/05/2018 05:53:42 AM - INFO - Symbol: LEP number of records: 2670
11/05/2018 05:53:42 AM - INFO - Symbol: TGS number of records: 2385
11/05/2018 05:53:42 AM - INFO - Symbol: SPX number of records: 1669
11/05/2018 05:53:43 AM - INFO - Symbol: HIL number of records: 2675
11/05/2018 05:53:43 AM - INFO - Symbol: IHL number of records: 1684
11/05/2018 05:53:43 AM - INFO - Symbol: ALT number of records: 2125
11/05/2018 05:53:43 AM - INFO - Symbol: ATM number of records: 57
11/05/2018 05:53:44 AM - INFO - Symbol: TCL number of records: 2666
11/05/2018 05:53:44 AM - INFO - Symbol: ESH number of records: 857
11/05/2018 05:53:44 AM - INFO - Symbol: EXC number of records: 720
11/05/2018 05:53:45 AM - INFO - Symbol: AUP number of records: 829
11/05/2018 05:53:45 AM - INFO - Symbol: BWN number of records: 691
11/05/2018 05:53:45 AM - INFO - Symbol: AGL number of records: 2671
11/05/2018 05:53:46 AM - INFO - Symbol: WSA number of records: 2670
11/05/2018 05:53:46 AM - INFO - Symbol: IZZ number of records: 2523
11/05/2018 05:53:46 AM - INFO - Symbol: PPL number of records: 514
11/05/2018 05:53:46 AM - INFO - Symbol: RUL number of records: 1969
11/05/2018 05:53:47 AM - INFO - Symbol: VRX number of records: 1210
11/05/2018 05:53:47 AM - INFO - Symbol: QTG number of records: 1199
11/05/2018 05:53:47 AM - INFO - Symbol: TCM number of records: 908
11/05/2018 05:53:47 AM - INFO - Symbol: AJL number of records: 2369
11/05/2018 05:53:48 AM - INFO - Symbol: CDB number of records: 805
11/05/2018 05:53:48 AM - INFO - Symbol: AIR number of records: 753
11/05/2018 05:53:48 AM - INFO - Symbol: MRP number of records: 1540
11/05/2018 05:53:49 AM - INFO - Symbol: HAS number of records: 1711
11/05/2018 05:53:49 AM - INFO - Symbol: KMD number of records: 2072
11/05/2018 05:53:49 AM - INFO - Symbol: NHF number of records: 2589
11/05/2018 05:53:49 AM - INFO - Symbol: CDC number of records: 376
11/05/2018 05:53:50 AM - INFO - Symbol: AOW number of records: 676
11/05/2018 05:53:50 AM - INFO - Symbol: MVT number of records: 2013
11/05/2018 05:53:50 AM - INFO - Symbol: TOP number of records: 1738
11/05/2018 05:53:51 AM - INFO - Symbol: GCR number of records: 1831
11/05/2018 05:53:51 AM - INFO - Symbol: OHE number of records: 231
11/05/2018 05:53:51 AM - INFO - Symbol: ERJ number of records: 1720
11/05/2018 05:53:52 AM - INFO - Symbol: JVG number of records: 607
11/05/2018 05:53:52 AM - INFO - Symbol: ARV number of records: 355
11/05/2018 05:53:52 AM - INFO - Symbol: COO number of records: 1446
11/05/2018 05:53:53 AM - INFO - Symbol: ONT number of records: 1928
11/05/2018 05:53:53 AM - INFO - Symbol: ACL number of records: 2504
11/05/2018 05:53:53 AM - INFO - Symbol: RCP number of records: 1463
11/05/2018 05:53:54 AM - INFO - Symbol: AVH number of records: 2516
11/05/2018 05:53:54 AM - INFO - Symbol: RAW number of records: 969
11/05/2018 05:53:54 AM - INFO - Symbol: CBQ number of records: 1448
11/05/2018 05:53:55 AM - INFO - Symbol: LHC number of records: 1045
11/05/2018 05:53:55 AM - INFO - Symbol: HRR number of records: 2340
11/05/2018 05:53:55 AM - INFO - Symbol: AAC number of records: 2669
11/05/2018 05:53:55 AM - INFO - Symbol: TTW number of records: 1493
11/05/2018 05:53:56 AM - INFO - Symbol: ZHE number of records: 68
11/05/2018 05:53:56 AM - INFO - Symbol: WCC number of records: 1145
11/05/2018 05:53:56 AM - INFO - Symbol: AIQ number of records: 83
11/05/2018 05:53:57 AM - INFO - Symbol: CAA number of records: 2356
11/05/2018 05:53:57 AM - INFO - Symbol: AHJ number of records: 100
11/05/2018 05:53:57 AM - INFO - Symbol: OMH number of records: 2451
11/05/2018 05:53:57 AM - INFO - Symbol: CBD number of records: 1355
11/05/2018 05:53:58 AM - INFO - Symbol: AVZ number of records: 1197
11/05/2018 05:53:58 AM - INFO - Symbol: 88E number of records: 1961
11/05/2018 05:53:58 AM - INFO - Symbol: HRN number of records: 74
11/05/2018 05:53:59 AM - INFO - Symbol: MPL number of records: 806
11/05/2018 05:53:59 AM - INFO - Symbol: NZO number of records: 1821
11/05/2018 05:53:59 AM - INFO - Symbol: WBAPA number of records: 42
11/05/2018 05:54:00 AM - INFO - Symbol: CV1 number of records: 533
11/05/2018 05:54:00 AM - INFO - Symbol: HCH number of records: 1747
11/05/2018 05:54:00 AM - INFO - Symbol: GLA number of records: 967
11/05/2018 05:54:00 AM - INFO - Symbol: GRG number of records: 274
11/05/2018 05:54:01 AM - INFO - Symbol: CLS number of records: 270
11/05/2018 05:54:01 AM - INFO - Symbol: BKY number of records: 2546
11/05/2018 05:54:01 AM - INFO - Symbol: XTE number of records: 996
11/05/2018 05:54:01 AM - INFO - Symbol: UBU number of records: 203
11/05/2018 05:54:02 AM - INFO - Symbol: PPC number of records: 2633
11/05/2018 05:54:02 AM - INFO - Symbol: EDE number of records: 2375
11/05/2018 05:54:02 AM - INFO - Symbol: AQZ number of records: 1170
11/05/2018 05:54:03 AM - INFO - Symbol: WMK number of records: 1122
11/05/2018 05:54:03 AM - INFO - Symbol: RER number of records: 1674
11/05/2018 05:54:03 AM - INFO - Symbol: PEC number of records: 178
11/05/2018 05:54:03 AM - INFO - Symbol: CGH number of records: 797
11/05/2018 05:54:03 AM - INFO - Symbol: LVT number of records: 1612
11/05/2018 05:54:04 AM - INFO - Symbol: FFC number of records: 178
11/05/2018 05:54:04 AM - INFO - Symbol: SYT number of records: 1778
11/05/2018 05:54:04 AM - INFO - Symbol: 4CE number of records: 1228
11/05/2018 05:54:04 AM - INFO - Symbol: PGF number of records: 567
11/05/2018 05:54:05 AM - INFO - Symbol: APC number of records: 211
11/05/2018 05:54:05 AM - INFO - Symbol: AQF number of records: 691
11/05/2018 05:54:05 AM - INFO - Symbol: PVD number of records: 1441
11/05/2018 05:54:06 AM - INFO - Symbol: DUB number of records: 1407
11/05/2018 05:54:06 AM - INFO - Symbol: DME number of records: 172
11/05/2018 05:54:06 AM - INFO - Symbol: OCC number of records: 852
11/05/2018 05:54:07 AM - INFO - Symbol: GNG number of records: 1559
11/05/2018 05:54:07 AM - INFO - Symbol: OPG number of records: 742
11/05/2018 05:54:07 AM - INFO - Symbol: CFO number of records: 307
11/05/2018 05:54:08 AM - INFO - Symbol: BD1 number of records: 765
11/05/2018 05:54:08 AM - INFO - Symbol: MMG number of records: 1
11/05/2018 05:54:08 AM - INFO - Symbol: CGF number of records: 2680
11/05/2018 05:54:08 AM - INFO - Symbol: CRM number of records: 187
11/05/2018 05:54:09 AM - INFO - Symbol: ANB number of records: 272
11/05/2018 05:54:09 AM - INFO - Symbol: PVM number of records: 737
