"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"SFY",53.68,53.46,,,,,-0.36,-0.0067,"2017-01-30",53.11,53.55,53.32,,,,,,,53.55,45,,,"ASX",12503,,,,0,0,,,,,0,,,,,
"SGC",0.079,0.074,,,,,-0.004,-0.050629999999999994,"2017-01-30",0.074,0.075,0.075,,,,,,,0.081,0.01,8260000,,"ASX",133397,-0.022,,,0,0.008,"0.00",,9.875,,0,,,"0.000",,
"SGF",3.43,3.36,,,,"3/30/2016",-0.07,-0.0204,"2017-01-30",3.34,3.4,3.36,,,,,,,4.94,3.02,846020000,,"ASX",37808,0.19,0.26,,0,0.8,89920000,4.07,4.29,17.97,0,12.92,11.59,"0.00",,
"SGH",0.26,0.27,,,,"9/18/2015",0,-0.0189,"2017-01-30",0.26,0.27,0.26,,,,,,,0.88,0.2,91620000,,"ASX",1018357,-2.89,-0.09,,0,0.87,-74890000,0.1,0.31,,0,,,"0.00",,
"SGM",11.78,11.59,2.27,0.21,,"3/10/2016",-0.15,-0.0127,"2017-01-30",11.49,11.97,11.63,,,,,,,13.61,6.37,2300000000,,"ASX",1044628,-1.07,0.6,,0,9.27,75100000,0.5,1.27,,0.5,19.38,16.15,"0.00",,
"SGP",4.41,4.4,0,0,,"6/29/2016",-0.05,-0.0113,"2017-01-30",4.34,4.41,4.36,,,,,,,5.11,3.94,10410000000,,"ASX",4045621,0.37,0.3,,0,3.88,712000000,4.46,1.14,11.69,2.66,14.53,14.06,"0.00",,
"SGQ",0.14,0.13,,,,,-0.01,-0.037000000000000005,"2017-01-30",0.13,0.14,0.13,,,,,,,0.25,0.08,26940000,,"ASX",158381,-0.04,,,0,0,-6140000,,27,,0,,,"0.00",,
"SGR",4.89,4.85,,,,"8/31/2016",-0.04,-0.008199999999999999,"2017-01-30",4.8,4.89,4.85,,,,,,,6.32,4.72,4000000000,,"ASX",1501195,0.23,0.29,,0,3.81,469900000,1.78,1.28,20.64,2.27,16.72,15.65,"0.00",,
"SHJ",0.7,0.7,,,,"9/9/2016",0,0.0070999999999999995,"2017-01-30",0.69,0.71,0.71,,,,,,,1.57,0.47,122940000,,"ASX",100549,0.09,0.13,,0,1.1,25570000,0.81,0.64,8.26,0.29,5.46,5.07,"0.00",,
"SHK",0.005,0.005,,,,,0,0,"2017-01-30",0.005,0.005,0.005,,,,,,,0.009,0.002,3510000,,"ASX",1035104,-0.006,,,0,-0.036,-1540000,603.097,,,0,,,"0.000",,
"SHL",21.2,21.15,4.1,0.63,,"9/8/2016",-0.01,-0.0005,"2017-01-30",20.96,21.4,21.19,,,,,,,24.16,17.05,8800000000,,"ASX",863955,1.09,1.09,,0,8.82,815270000,1.75,2.4,19.39,3.13,19.44,17.51,"0.00",,
"SHM",1.17,1.16,,,,"3/16/2016",0,0,"2017-01-30",1.16,1.2,1.17,,,,,,,1.39,0.66,111150000,,"ASX",49123,0.14,0.14,,0,0.5,23050000,0.61,2.36,8.42,0,8.36,7.31,"0.00",,
"SHV",5.92,5.97,,,,"9/2/2016",-0.15,-0.0253,"2017-01-30",5.7,5.98,5.77,,,,,,,7.85,3.73,420740000,,"ASX",336702,0.46,0.41,,0,3.99,54160000,1.51,1.48,12.54,1.46,14.07,12.82,"0.00",,
"SIO",0.4,0.405,,,,"8/26/2015",-0.005,-0.0125,"2017-01-30",0.395,0.425,0.395,,,,,,,0.525,0.145,56830000,,"ASX",56212,-0.101,0.07,,0,-0.023,-3780000,0.087,,,0.16,5.643,4.938,"0.000",,
"SIP",1.22,1.22,0,0,,"9/20/2016",-0.01,-0.008199999999999999,"2017-01-30",1.21,1.24,1.21,,,,,,,1.53,0.72,1190000000,,"ASX",2425306,0.05,0.06,,0,0.56,102750000,0.31,2.19,23.27,2.28,20.17,17.29,"0.00",,
"SIQ",6.38,6.42,,,,"3/11/2016",0.01,0.0016,"2017-01-30",6.32,6.42,6.39,,,,,,,7.71,3.71,763820000,,"ASX",44598,0.25,0.36,,0,0.85,39670000,7.07,7.52,25.87,0.69,17.75,14.86,"0.00",,
"SIV",8.96,9,,,,"9/2/2016",0.04,0.0045000000000000005,"2017-01-30",8.95,9.03,9,,,,,,,12.2,7.66,316370000,,"ASX",31481,0.69,0.7,,0,3.68,143920000,1.42,2.44,13.06,1.32,12.86,10.71,"0.00",,
"SKB",0.56,0.56,,,,"9/19/2016",0,0,"2017-01-30",0.55,0.58,0.56,,,,,,,0.68,0.35,221930000,,"ASX",37982,0.02,0.02,,0,0.18,12070000,3.8,3.16,28,0,,,"0.00",,
"SKC",3.72,3.69,6.78,0.18,,"9/1/2016",-0.02,-0.0054,"2017-01-30",3.69,3.75,3.7,,,,,,,4.88,3.31,2410000000,,"ASX",357251,0.18,0.25,,0,1.24,237640000,3.34,3,20.9,-70.36,14.8,14.23,"0.00",,
"SKF",0.071,0.071,,,,,0.008,0.11268,"2017-01-30",0.071,0.079,0.079,,,,,,,0.155,0.044,13290000,,"ASX",192000,-0.038,-0.01,,0,0.037,-2410000,5.106,1.919,,0,,,"0.000",,
"SKI",2.35,2.35,5.83,0.11,,"9/5/2016",-0.01,-0.0043,"2017-01-30",2.33,2.36,2.34,,,,,,,2.67,1.86,3940000000,,"ASX",2221622,0.06,0.1,,0,1.23,261190000,14.51,1.92,37.14,7.67,23.4,21.27,"0.00",,
"SKN",0.19,0.19,,,,,0,0,"2017-01-30",0.19,0.19,0.19,,,,,,,0.22,0.19,,,"ASX",3500,,,,0,0,"0.00",,,,0,,,"0.00",,
"SKT",4.51,4.5,,,,"3/10/2016",-0.04,-0.0089,"2017-01-30",4.43,4.54,4.47,,,,,,,5.11,3.7,1740000000,,"ASX",215098,0.27,0.3,,0,2.48,237550000,2.61,1.82,16.37,-1.48,14.9,15.41,"0.00",,
"SLC",2.53,2.53,,,,,-0.03,-0.011899999999999999,"2017-01-30",2.46,2.55,2.5,,,,,,,3.48,1.68,,,"ASX",302675,-0.04,-0.02,,0,0,"0.00",,,,0,,,"0.00",,
"SLF",12.44,12.41,,,,,-0.12,-0.0096,"2017-01-30",12.32,12.45,12.32,,,,,,,14.68,11.45,,,"ASX",9739,2.71,,,0,0,,,,,0,,,,,
"SLK",4.61,4.6,,,,"3/31/2016",-0.01,-0.0022,"2017-01-30",4.56,4.6,4.6,,,,,,,4.85,3.63,465300000,,"ASX",9442,0.23,0.24,,0,1.35,44080000,2.64,3.4,19.66,2.61,19.17,17.04,"0.00",,
"SLM",0.66,0.66,,,,"8/28/2014",0,0,"2017-01-30",0.66,0.66,0.66,,,,,,,0.66,0.4,105260000,,"ASX",6677,-0.05,0.04,,0,0.55,9980000,0.23,1.2,,-2.91,16.5,13.2,"0.00",,
"SLR",0.65,0.67,,,,,0.04,0.053399999999999996,"2017-01-30",0.65,0.69,0.69,,,,,,,0.8,0.22,347560000,,"ASX",2361985,0.01,0.04,,0,0.37,52790000,1.57,1.76,76.67,-0.15,17.25,6.27,"0.00",,
"SLX",0.74,0.77,,,,,0.1,0.1429,"2017-01-30",0.76,0.87,0.84,,,,,,,0.87,0.26,143190000,,"ASX",1134105,-0.02,-0.01,,0,0.31,-4540000,40.72,2.33,,0,,,"0.00",,
"SM8",0.15,0.15,,,,,0,0,"2017-01-30",0.15,0.15,0.15,,,,,,,0.28,0.14,8260000,,"ASX",7150,-0.02,,,0,0.07,"-381338.00",21.76,2.17,,0,,,"0.00",,
"SMA",0.013,0.013,,,,,-0.001,-0.07692,"2017-01-30",0.012,0.013,0.012,,,,,,,0.057,0.011,26590000,,"ASX",1835470,-0.001,0,,0,0.002,-2430000,2.473,6.5,,0,,,"0.000",,
"SMD",0.02,0.02,,,,,0,0.0526,"2017-01-30",0.02,0.02,0.02,,,,,,,0.04,0,11490000,,"ASX",82858,-0.02,0,,0,0.01,"-588944.00",5457.2,1.58,,0,,,"0.00",,
"SMI",0.05,0.04,,,,,-0.01,-0.11109999999999999,"2017-01-30",0.04,0.04,0.04,,,,,,,0.08,0.01,10410000,,"ASX",221776,-0.01,,,0,0.03,-1410000,,1.5,,0,,,"0.00",,
"SMM",0.16,0.18,,,,,0.02,0.125,"2017-01-30",0.18,0.18,0.18,,,,,,,0.18,0.08,39240000,,"ASX",5000,-0.01,,,0,0.22,"0.00",544.95,0.72,,0,,,"0.00",,
"SMN",1.54,1.51,,,,,-0.02,-0.016200000000000003,"2017-01-30",1.5,1.57,1.52,,,,,,,2.99,1.2,154760000,,"ASX",123537,-0.03,,,0,0.03,"0.00",1295.74,48.28,,0,,,"0.00",,
"SMP",0.18,0.18,,,,,0,0,"2017-01-30",0.18,0.18,0.18,,,,,,,0.22,0.1,30920000,,"ASX",89000,0,,,0,0.05,5230000,2.01,3.6,90,0,,,"0.00",,
"SMR",0.5,0.5,,,,,0,0,"2017-01-30",0.5,0.51,0.5,,,,,,,0.84,0.12,111250000,,"ASX",134304,-0.09,-0.04,,0,0.18,-22700000,8.76,2.84,,0,,,"0.00",,
"SMX",1.41,1.41,,,,"10/13/2016",-0.03,-0.0213,"2017-01-30",1.38,1.41,1.38,,,,,,,2.61,1.1,94580000,,"ASX",171794,0.14,0.09,,0,1.89,16489999.999999998,0.29,0.75,9.86,-2.7,15.33,12.55,"0.00",,
"SNC",0.99,0.99,,,,"10/21/2016",0.01,0.0152,"2017-01-30",0.99,1,1,,,,,,,1,0.79,44260000,,"ASX",32030,0.05,,,0,0.94,"0.00",9.37,1.04,18.87,0,,,"0.00",,
"SND",0.63,0.59,,,,"3/8/2016",-0.04,-0.0635,"2017-01-30",0.59,0.59,0.59,,,,,,,0.64,0.5,46440000,,"ASX",5000,0.04,0.08,,0,0.22,4300000,1.19,2.86,16.39,0,,,"0.00",,
"SNL",2.05,2.08,,,,"9/14/2016",0.04,0.0195,"2017-01-30",2.08,2.15,2.09,,,,,,,2.35,1.85,85190000,,"ASX",69651,0.12,0.13,,0,0.7,8080000,0.96,2.92,17.56,-18.45,16.08,,"0.00",,
"SO4",0.61,0.62,,,,,0.02,0.032799999999999996,"2017-01-30",0.62,0.63,0.63,,,,,,,0.69,0.19,84310000,,"ASX",45025,-0.04,-0.05,,0,0.07,-4410000,,8.71,,0,,,"0.00",,
"SOL",15.84,15.9,,,,"4/20/2016",0.05,0.0032,"2017-01-30",15.76,15.98,15.89,,,,,,,17.97,14.35,3800000000,,"ASX",162016,0.62,0.78,,0,12.7,247020000,4.98,1.25,25.46,3.88,20.37,14.85,"0.00",,
"SOM",3.65,3.65,,,,,-0.02,-0.0055000000000000005,"2017-01-30",3.63,3.7,3.63,,,,,,,4.08,2.42,206590000,,"ASX",16806,0,-0.02,,0,0.58,1040000,4.71,6.25,1210,-0.38,,60.5,"0.00",,
"SP1",0.03,0.03,,,,,0,-0.0909,"2017-01-30",0.03,0.03,0.03,,,,,,,0.19,0.03,"32580.00",,"ASX",216065,-6.74,,,0,0.69,-6060000,0.3,0.05,,0,,,"0.00",,
"SPK",3.47,3.45,,,,"9/22/2016",-0.08,-0.0231,"2017-01-30",3.38,3.45,3.39,,,,,,,3.84,2.95,6200000000,,"ASX",822147,0.15,0.21,,0,0.67,602030000,2.5,5.19,23.06,3.75,16.14,15.41,"0.00",,
"SPL",0.8,0.8,,,,"3/25/1988",-0.02,-0.0189,"2017-01-30",0.76,0.81,0.78,,,,,,,0.88,0.54,286340000,,"ASX",422046,-0.07,-0.02,,0,0.14,-21740000,62.99,5.89,,0,,78,"0.00",,
"SPO",0.98,0.98,,,,"3/17/2016",-0.05,-0.051,"2017-01-30",0.91,0.98,0.93,,,,,,,1.33,0.89,1020000000,,"ASX",14668684,0.11,0.1,,0,0.75,294900000,0.34,1.3,8.45,2.1,9.3,8.45,"0.00",,
"SPX",0.006,0.005,,,,,-0.001,-0.16667,"2017-01-30",0.005,0.005,0.005,,,,,,,0.008,0.003,1540000,,"ASX",2000,-0.008,,,0,0.001,"-476814.00",,6,,0,,,"0.000",,
"SPY",305.03,303.26,,,,,-1.77,-0.0058,"2017-01-30",303.26,303.26,303.26,,,,,,,314.43,257.33,,,"ASX",28,27.45,,,0,0,,,,,0,,,,,
"SPZ",0.31,0.31,,,,,0,0.016399999999999998,"2017-01-30",0.31,0.31,0.31,,,,,,,0.34,0.19,90020000,,"ASX",159551,0,0.01,,0,0.04,1020000,2.78,6.93,,0,31,15.5,"0.00",,
"SRF",0.19,0.19,,,,,0,-0.0256,"2017-01-30",0.19,0.19,0.19,,,,,,,1.84,0.1,52550000,,"ASX",34123,-0.6,-0.03,,0,0.18,-61290000,0.23,1.11,,0,,,"0.00",,
"SRG",1.5,1.5,,,,"9/15/2016",-0.01,-0.0067,"2017-01-30",1.45,1.5,1.49,,,,,,,1.88,0.69,93810000,,"ASX",42945,0.1,0.16,,0,1.28,15040000,0.53,1.17,15.2,0,9.31,10.64,"0.00",,
"SRI",0.016,0.016,,,,,0,0,"2017-01-30",0.016,0.016,0.016,,,,,,,0.033,0.014,11280000,,"ASX",1203732,-0.007,,,0,0.003,-4580000,135.947,5.333,,0,,,"0.000",,
"SRO",0.01,0.01,,,,,0,0,"2017-01-30",0.01,0.01,0.01,,,,,,,0.05,0.01,3110000,,"ASX",40931,-0.03,,,0,0.01,-3720000,8.63,1.43,,0,,,"0.00",,
"SRS",0.025,0.025,,,,"9/15/2008",0,0,"2017-01-30",0.025,0.025,0.025,,,,,,,0.038,0.023,16629999.999999998,,"ASX",48514,0.008,,,0,-0.173,7630000,0.042,,3.125,0,,,"0.000",,
"SRV",7.49,5.81,,,,"9/6/2016",-1.44,-0.1923,"2017-01-30",5.51,6.26,6.05,,,,,,,8.3,5.51,595510000,,"ASX",1493119,0.4,0.48,,0,2.65,65560000,2.29,2.82,14.98,3.08,12.6,10.8,"0.00",,
"SRX",14.93,14.93,2.77,0.31,,"9/27/2016",-0.55,-0.0368,"2017-01-30",14.36,14.99,14.38,,,,,,,39.19,12.2,828880000,,"ASX",334748,0.92,0.84,,0,3.38,71030000,3.7,4.42,15.6,2.82,17.12,13.57,"0.00",,
"SRY",0.048,0.048,,,,,0,0,"2017-01-30",0.048,0.048,0.048,,,,,,,0.081,0.032,7180000,,"ASX",860350,0.01,0.01,,0,0.054,2190000,0.268,0.889,4.8,0,4.8,4.8,"0.000",,
"SSG",0.77,0.77,,,,,0,0,"2017-01-30",0.77,0.77,0.77,,,,,,,1.23,0.69,96320000,,"ASX",25000,0.05,0.07,,0,0.42,11940000,0.9,1.85,16.74,0,11,9.62,"0.00",,
"SSM",1.15,1.16,,,,"9/14/2016",0.015,0.013040000000000001,"2017-01-30",1.145,1.17,1.165,,,,,,,1.28,0.483,418950000,,"ASX",295704,0.051,0.07,,0,0.515,32110000,0.944,2.233,22.843,0,16.643,14.562,"0.000",,
"SSN",0.005,0.005,,,,,0,0,"2017-01-30",0.004,0.005,0.005,,,,,,,0.008,0.003,16079999.999999998,,"ASX",4344002,-0.004,0,,0,0.001,-1420000,1.553,5,,0,,,"0.000",,
"ST1",0.035,0.036,,,,,0.001,0.02857,"2017-01-30",0.036,0.037,0.036,,,,,,,0.039,0.018,30100000,,"ASX",2264085,-0.004,,,0,0.004,"12876.00",3.309,8.75,,0,,,"0.000",,
"STA",0.008,0.008,,,,,0,0,"2017-01-30",0.008,0.008,0.008,,,,,,,0.01,0.004,20570000,,"ASX",1307996,-0.002,,,0,0.01,-1670000,4306.312,0.8,,0,,,"0.000",,
"STL",0.036,0.035,,,,,0.001,0.02778,"2017-01-30",0.035,0.037,0.037,,,,,,,0.046,0.028,21720000,,"ASX",1136901,-0.004,,,0,0.025,-2320000,5.774,1.44,,0,,,"0.000",,
"STO",4.07,4.08,0,0,,"2/24/2016",-0.06,-0.0147,"2017-01-30",4,4.08,4.01,,,,,,,5.07,2.69,7120000000,,"ASX",4798519,-2.04,0.02,,0,3.59,-658220000,3.08,1.13,,6.82,200.5,28.64,"0.00",,
"STW",53.32,53.11,,,,,-0.45,-0.0084,"2017-01-30",52.73,53.11,52.87,,,,,,,53.11,43.89,,,"ASX",72995,-1.99,,,0,0,,,,,0,,,,,
"STX",0.087,0.086,,,,,-0.005,-0.05747,"2017-01-30",0.082,0.086,0.082,,,,,,,0.144,0.073,73830000,,"ASX",581470,0.005,0,,0,0.046,6190000,52.499,1.891,16.4,0,,8.2,"0.000",,
"SUH",0.04,0.04,,,,,0,0,"2017-01-30",0.04,0.04,0.04,,,,,,,0.04,0,2600000,,"ASX",29870,-0.72,,,0,0.01,"-667909.00",,5,,0,,,"0.00",,
"SUL",9.92,9.76,,,,"9/5/2016",-0.13,-0.0131,"2017-01-30",9.72,9.83,9.79,,,,,,,11.19,7.98,1930000000,,"ASX",464952,0.32,0.66,,0,3.73,179300000,0.81,2.66,30.98,1.1,14.83,13.05,"0.00",,
"SUM",0.023,0.023,,,,,0,0,"2017-01-30",0.023,0.023,0.023,,,,,,,0.073,0.02,16350000.000000002,,"ASX",47650,-0.077,0.8,,0,-0.016,-3360000,1.134,,,0,,,"0.000",,
"SUN",13.23,13.08,,,,"8/12/2016",-0.19,-0.0144,"2017-01-30",13.01,13.17,13.04,,,,,,,13.95,10.11,16579999999.999998,,"ASX",2830936,0.8,0.96,,0,10.67,3240000000,1.1,1.24,16.34,2.54,13.58,13.17,"0.00",,
"SUNPC",102.58,,,,,,0.22,0.0021,"2017-01-30",102.5,103,102.8,,,,,,,105.1,98.65,,,"ASX",3958,0.8,,,0,0,,,,,0,,,,,
"SUR",0.01,0.012,,,,"7/16/2002",-0.002,-0.2,"2017-01-30",0.008,0.012,0.008,,,,,,,0.024,0.008,2110000,,"ASX",962900,-0.067,0,,0,-0.006,-1450000,23.137,,,0,,,"0.000",,
"SVH",0.23,0.23,,,,,0,0,"2017-01-30",0.23,0.23,0.23,,,,,,,0.41,0.14,7360000,,"ASX",2504083,-0.04,-0.01,,0,0.72,"933000.00",0.45,0.32,,0,,23,"0.00",,
"SVL",0.16,0.165,,,,,0.005,0.03125,"2017-01-30",0.165,0.17,0.165,,,,,,,0.305,0.1,56180000,,"ASX",1100485,-0.122,,,0,0.126,-4920000,,1.27,,0,,,"0.000",,
"SVM",0.09,0.094,,,,,0.004,0.04444,"2017-01-30",0.094,0.094,0.094,,,,,,,0.14,0.032,19480000,,"ASX",90464,-0.015,,,0,0.051,-2089999.9999999998,799.653,1.765,,0,,,"0.000",,
"SVW",7.32,7.22,,,,"9/14/2016",-0.04,-0.0055000000000000005,"2017-01-30",7.16,7.3,7.28,,,,,,,9.34,4.03,2049999999.9999998,,"ASX",177572,0.6,0.54,,0,7.93,344200000,0.68,0.92,12.13,-4.71,13.48,13,"0.00",,
"SVWPA",72.35,,,,,,0,0,"2017-01-30",71.94,72.35,72.35,,,,,,,75,50,,,"ASX",1061,0.6,,,0,0,,,,,0,,,,,
"SVY",0.16,0.16,,,,,0,0.0323,"2017-01-30",0.16,0.16,0.16,,,,,,,0.25,0.09,15320000,,"ASX",33663,-0.03,-0.02,,0,0.05,-2990000,376.57,3.3,,0,,,"0.00",,
"SW1",0.215,0.215,,,,,0.01,0.046509999999999996,"2017-01-30",0.215,0.225,0.225,,,,,,,0.28,0.14,18190000,,"ASX",71074,-0.223,,,0,0.066,-1710000,10.05,3.258,,0,,,"0.000",,
"SWJ",0.016,0.016,,,,,0,0,"2017-01-30",0.016,0.016,0.016,,,,,,,0.019,0.008,30060000,,"ASX",80000,-0.004,,,0,0.002,-3510000,,8,,0,,,"0.000",,
"SWK",0.31,0.31,,,,"3/6/2015",-0.005,-0.01613,"2017-01-30",0.305,0.31,0.305,,,,,,,0.33,0.11,65720000,,"ASX",416370,-0.012,0.01,,0,0.407,14460000,0.537,0.762,,0,,,"0.000",,
"SWL",0.93,0.92,,,,"3/17/2016",-0.045,-0.04839,"2017-01-30",0.885,0.92,0.885,,,,,,,0.93,0.61,77860000,,"ASX",73463,0.014,0.09,,0,0.727,5960000,0.227,1.279,63.214,2.69,9.833,7.375,"0.000",,
"SWM",0.84,0.83,15.19,0.09,,"3/17/2016",-0.01,-0.011899999999999999,"2017-01-30",0.82,0.84,0.83,,,,,,,1.23,0.67,1250000000,,"ASX",1969144,0.12,0.1,,0,0.83,365170000,0.73,1.01,6.8,-1.27,8.3,8.3,"0.00",,
"SXE",0.565,0.575,,,,"9/16/2016",0,0,"2017-01-30",0.565,0.575,0.565,,,,,,,0.65,0.335,90080000,,"ASX",39132,0.031,0.02,,0,0.55,12230000,0.434,1.027,18.226,0,,,"0.000",,
"SXL",1.46,1.43,0,0,,"9/1/2016",0.01,0.0068000000000000005,"2017-01-30",1.42,1.48,1.47,,,,,,,1.69,1.01,1130000000,,"ASX",1988967,0.1,0.12,,0,1.27,167440000,1.75,1.15,14.55,1.99,12.25,12.25,"0.00",,
"SYA",0.031,0.031,,,,,0.001,0.03226,"2017-01-30",0.031,0.033,0.032,,,,,,,0.072,0.012,17190000,,"ASX",1081271,-0.005,,,0,0.002,-2470000,389.466,15.5,,0,,,"0.000",,
"SYD",6,5.97,,,,"6/29/2016",-0.07,-0.011699999999999999,"2017-01-30",5.93,5.99,5.93,,,,,,,7.62,5.82,13220000000,,"ASX",3901883,0.14,0.15,,0,0.5,1050000000,10.32,12.02,42.97,3.74,39.53,34.88,"0.00",,
"SYR",3.33,3.33,,,,,-0.05,-0.015,"2017-01-30",3.28,3.39,3.28,,,,,,,6.72,2.62,865120000,,"ASX",857323,-0.03,-0.05,,0,1.62,-15620000,1092.43,2.06,,0,,,"0.00",,
"SYT",0.036,0.037,,,,,0.001,0.02778,"2017-01-30",0.037,0.038,0.037,,,,,,,0.059,0.009,,,"ASX",2514333,,,,0,0,"0.00",,,,0,,,"0.000",,
"T3D",0.016,0.015,,,,,-0.001,-0.0625,"2017-01-30",0.014,0.015,0.015,,,,,,,0.04,0.01,"441750.00",,"ASX",214719,,,,0,0.013,"-936281.00",9.348,1.231,,0,,,"0.000",,
"TAH",4.78,4.75,7.32,0.26,,"8/10/2016",-0.07,-0.0146,"2017-01-30",4.7,4.75,4.71,,,,,,,5.3,3.87,3900000000,,"ASX",1050147,0.2,0.24,,0,2.04,429200000,1.8,2.34,23.2,2.39,19.62,18.12,"0.00",,
"TAM",0.068,0.063,,,,,-0.003,-0.04412,"2017-01-30",0.061,0.065,0.065,,,,,,,0.105,0.036,76380000,,"ASX",398886,0.011,0,,0,0.018,-4670000,2048.887,3.778,5.909,0,,,"0.000",,
"TAP",0.09,0.09,,,,,0,-0.011000000000000001,"2017-01-30",0.09,0.09,0.09,,,,,,,0.11,0.05,28390000,,"ASX",1284616,-0.15,-0.01,,0,0.16,58630000,0.38,0.56,,0,,,"0.00",,
"TAR",0.035,0.035,,,,,0,0,"2017-01-30",0.035,0.035,0.035,,,,,,,0.081,0.024,2740000,,"ASX",2800,-0.022,,,0,0.127,"-364407.00",17.508,0.276,,0,,,"0.000",,
"TAS",0.24,0.255,,,,,0.035,0.14583000000000002,"2017-01-30",0.255,0.28,0.275,,,,,,,0.28,0.046,104360000,,"ASX",2290064,-0.006,,,0,0.065,-4210000,74.444,3.692,,0,,,"0.000",,
"TAU",0.19,0.19,,,,,0,0,"2017-01-30",0.19,0.19,0.19,,,,,,,0.2,0.03,6290000,,"ASX",2737,-0.01,,,0,0.27,"-464376.00",1.59,0.7,,0,,,"0.00",,
"TAW",0.13,0.12,,,,,-0.02,-0.15380000000000002,"2017-01-30",0.11,0.12,0.11,,,,,,,0.17,0,16230000,,"ASX",2605168,-0.12,,,0,0.01,-1360000,751,18.57,,0,,,"0.00",,
"TBH",0.25,0.25,,,,,-0.02,-0.098,"2017-01-30",0.2,0.25,0.23,,,,,,,0.28,0.1,22160000,,"ASX",715929,-0.06,,,0,0.09,-4650000,8.52,2.93,,0,,,"0.00",,
"TBR",5.55,5.6,,,,,0.15,0.027000000000000003,"2017-01-30",5.6,5.7,5.7,,,,,,,8.1,3.34,285020000,,"ASX",14687,0.61,,,0,3.15,74800000,2.35,1.76,9.28,0,,,"0.00",,
"TCH",1.04,1.04,,,,,0,-0.0048,"2017-01-30",1.04,1.08,1.04,,,,,,,2.69,0.96,120600000,,"ASX",443182,0.16,0.01,,0,0.47,20230000,2.63,2.22,6.62,0,104,26,"0.00",,
"TCL",10.25,10.21,4.95,0.38,,"12/29/2016",-0.04,-0.0039000000000000003,"2017-01-30",10.17,10.27,10.21,,,,,,,12.65,9.45,20790000000,,"ASX",3125606,0.05,0.17,,0,2.47,1380000000,9.44,4.14,204.2,0.81,60.06,46.41,"0.00",,
"TEG",0.036,0.036,,,,"9/10/2010",-0.001,-0.02778,"2017-01-30",0.035,0.036,0.035,,,,,,,0.075,0.025,4890000,,"ASX",110000,0.044,,,0,0.021,"369922.00",,1.714,0.795,0,,,"0.000",,
"TEK",0.23,0.24,,,,,0,-0.0213,"2017-01-30",0.23,0.24,0.23,,,,,,,0.26,0.22,44510000000,,"ASX",385666,-49,,,0,-0.67,"692211.00",,,,0,,,"0.00",,
"TEN",0.9,0.9,,,,"11/9/2011",-0.01,-0.0111,"2017-01-30",0.89,0.91,0.89,,,,,,,1.48,0.88,321610000,,"ASX",148702,-0.47,-0.01,,0,1.06,2170000,0.47,0.85,,1.44,,89,"0.00",,
"TER",0.039,0.04,,,,,0.002,0.05128,"2017-01-30",0.04,0.044,0.041,,,,,,,0.047,0.002,105850000,,"ASX",8573605,-0.031,,,0,-0.009,-18780000,10.168,,,0,,,"0.000",,
"TEX",0.002,0.001,,,,,-0.001,-0.5,"2017-01-30",0.001,0.001,0.001,,,,,,,0.002,0.001,1030000,,"ASX",325001,-0.009,0,,0,-0.01,-2330000,2.817,,,0,,,"0.000",,
"TFC",1.62,1.61,2.56,0.03,,"10/7/2016",-0.02,-0.0154,"2017-01-30",1.59,1.63,1.6,,,,,,,1.85,1.09,620940000,,"ASX",701310,0.07,0.07,,0,1.91,70940000,3.49,0.85,22.86,-1.63,22.86,22.86,"0.00",,
"TFG",0.28,0.28,,,,,-0.01,-0.0526,"2017-01-30",0.27,0.28,0.27,,,,,,,0.38,0.17,32540000,,"ASX",68000,-0.02,0.01,,0,0.15,"-810423.00",4.34,1.88,,0,27,13.5,"0.00",,
"TFL",0.16,0.155,,,,,-0.005,-0.03125,"2017-01-30",0.155,0.155,0.155,,,,,,,0.36,0.155,25440000,,"ASX",32034,-0.076,,,0,0.219,-2160000,9.723,0.731,,0,,,"0.000",,
"TGA",1.74,1.74,,,,"1/4/2017",-0.01,-0.0086,"2017-01-30",1.72,1.74,1.72,,,,,,,2,1.26,267149999.99999997,,"ASX",251998,0.13,0.2,,0,1.33,65530000,0.87,1.31,13.44,2.73,8.6,8.19,"0.00",,
"TGG",1.25,1.25,,,,,-0.01,-0.008,"2017-01-30",1.24,1.26,1.24,,,,,,,1.26,1.05,,,"ASX",142741,0.01,,,0,0,"0.00",,,,0,,,"0.00",,
"TGH",1.33,1.33,,,,"1/12/2017",-0.05,-0.037599999999999995,"2017-01-30",1.28,1.33,1.28,,,,,,,1.73,1.2,455560000,,"ASX",2080,0.07,,,0,0.96,47650000,1.1,1.38,18.55,0,,,"0.00",,
