"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"ARA",0.63,0.63,,,,"9/8/2016",0.02,0.0317,"2017-01-30",0.63,0.65,0.65,,,,,,,0.69,0.31,130699999.99999999,,"ASX",173567,0.05,,,0,0.43,12830000,4.1,1.46,12.04,0,,,"0.00",,
"ARB",16.44,16.34,2.85,0.37,,"10/6/2016",-0.06,-0.0036,"2017-01-30",16.17,16.71,16.38,,,,,,,18.5,14.46,1300000000,,"ASX",157392,0.6,0.66,,0,3.15,69250000,3.65,5.21,27.35,2.04,24.82,22.44,"0.00",,
"ARD",0.027,0.027,,,,,0.002,0.07407,"2017-01-30",0.027,0.029,0.029,,,,,,,0.044,0.018,9230000,,"ASX",1587128,-0.008,,,0,0.002,-2089999.9999999998,,13.5,,0,,,"0.000",,
"ARE",0.006,0.006,,,,,0,0,"2017-01-30",0.006,0.006,0.006,,,,,,,0.028,0.004,3930000,,"ASX",140000,-0.016,,,0,0.003,-1150000,316.285,2,,0,,,"0.000",,
"ARF",1.9,1.9,,,,"9/29/2016",-0.01,-0.0053,"2017-01-30",1.86,1.91,1.89,,,,,,,2.44,1.65,438410000,,"ASX",232553,0.31,0.12,,0,1.28,28840000,13.17,1.49,6,0,15.75,14.54,"0.00",,
"ARG",7.67,7.67,,,,,-0.03,-0.0039000000000000003,"2017-01-30",7.63,7.67,7.64,,,,,,,7.85,7.11,5190000000,,"ASX",98499,0.32,,,0,6.34,220200000,22.86,1.21,23.88,0,,,"0.00",,
"ARM",0.062,0.062,,,,,0,0,"2017-01-30",0.062,0.062,0.062,,,,,,,0.097,0.026,7240000,,"ASX",8427,0.015,,,0,0.08,"460467.00",1.981,0.775,4.133,0,,,"0.000",,
"ARO",0.003,0.003,,,,,0,0,"2017-01-30",0.003,0.003,0.003,,,,,,,0.011,0.001,2650000,,"ASX",456423,-0.01,,,0,0.002,"-716373.00",,1.5,,0,,,"0.000",,
"ARS",0.105,0.105,,,,,0,0,"2017-01-30",0.105,0.105,0.105,,,,,,,0.19,0.083,7720000,,"ASX",6000,-0.025,,,0,0.058,-1760000,,1.81,,0,,,"0.000",,
"ARU",0.083,0.082,,,,,0,0,"2017-01-30",0.082,0.084,0.083,,,,,,,0.085,0.041,36630000,,"ASX",258337,-0.072,0,,0,0.223,-3160000,97.324,0.372,,0,,,"0.000",,
"ARV",0.002,0.002,,,,,0,0,"2017-01-30",0.002,0.002,0.002,,,,,,,0.003,0.001,7510000,,"ASX",14171524,-0.003,,,0,0,"-620115.00",37.078,,,0,,,"0.000",,
"ASB",1.58,1.58,3.76,0.04,,"3/8/2016",0.05,0.0349,"2017-01-30",1.58,1.64,1.63,,,,,,,1.95,0.94,567880000,,"ASX",342433,-0.24,0.09,,0,1.31,-105690000,0.41,1.2,,2.02,18.11,14.82,"0.00",,
"ASG",2.62,2.6,,,,,-0.05,-0.0191,"2017-01-30",2.52,2.63,2.57,,,,,,,2.66,2.25,72600000,,"ASX",78137,0.08,,,0,-0.03,"-228250.00",40710.88,,,0,,,"0.00",,
"ASL",1.42,1.42,0,0,,"3/18/2015",0.07,0.0493,"2017-01-30",1.42,1.5,1.49,,,,,,,1.75,0.18,465290000,,"ASX",1631076,0.18,0.1,,0,1.94,125300000,0.59,0.73,8.19,-0.8,14.9,12.42,"0.00",,
"ASN",0.047,0.048,,,,,-0.001,-0.02128,"2017-01-30",0.044,0.048,0.046,,,,,,,0.051,0.009,5620000,,"ASX",962587,-0.012,,,0,0.011,-1210000,5742601,4.273,,0,,,"0.000",,
"ASP",0.009,0.008,,,,"10/20/2008",0,0,"2017-01-30",0.008,0.009,0.009,,,,,,,0.02,0.005,8630000,,"ASX",1580309,-0.009,0,,0,0.002,-3160000,0.383,4.5,,0,,,"0.000",,
"AST",1.585,1.585,6.28,0.08,,"5/19/2016",0,0,"2017-01-30",1.56,1.585,1.585,,,,,,,1.795,1.4,5650000000,,"ASX",4674647,0.083,0.08,,0,0.993,1050000000,3.021,1.596,19.096,-9.06,19.812,19.812,"0.000",,
"ASW",0.81,0.81,,,,"8/15/2016",0.01,0.0184,"2017-01-30",0.81,0.83,0.83,,,,,,,0.84,0.6,35480000,,"ASX",3169,0.04,,,0,0.17,2920000,5.75,4.94,19.3,0,,,"0.00",,
"ASX",49.75,49.4,6.06,2.17,,"3/2/2016",-0.56,-0.0113,"2017-01-30",48.76,49.83,49.19,,,,,,,52.41,38.4,9510000000,,"ASX",345904,2.2,2.26,,0,19.77,706600000,10.59,2.52,22.32,5.45,21.77,20.84,"0.00",,
"ASY",0.015,0.015,,,,,0,0,"2017-01-30",0.015,0.015,0.015,,,,,,,0.026,0.012,,,"ASX",48908,-0.006,,,0,0,"0.00",,,,0,,,"0.000",,
