symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
ADX,ADX Energy Limited,0,0.02,0.01,325,11.78,15650000,-,0,-,0,-,0,-,-,0,0,4.41,0,0,0,0,0,0,0,0,-,-123,-,-104.75,-99.62,-,-82.79,-123,-,-104.75,1.97,846.15,-,-,"-247,436.40","-246,944.20","-189,940.30",-,-,-,-,-,1550000,1800000
ADY,Admiralty Resources NL,0,0.01,0.01,0,0.73,11530000,-,0,-,0,-,0,-,-,0.01,0,0.08,0,0,17.48,17.48,0,0,22.2,22.2,-2.4,-14.81,-35.25,-14.81,-11.78,-33.41,-11.78,-14.81,-36.34,-14.81,0.45,610.91,-,-,"-51,577.95","-48,942.60","-70,721.45",-,-56.09,-36.07,-,-,"110,000.00","69,119.00"
ADYN,ADMIRALTY DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AEB,Algae Tec Ltd,-0.01,0.05,0.05,-14.52,-,18700000,-,0,-,0,-,0,-,-,0,0,0.62,0,0,94.23,94.23,-,-,-,-,-19.69,-473.51,-189.33,-473.51,-70.09,-79.01,-70.09,-473.51,-209.25,-473.51,0.39,79.39,-,69.66,-104.15,-111.62,-107.24,-,169.8,-,-,-,"539,834.00","150,147.00"
AED,AED Oil Limited,-0.04,0,-,-,-,-,-,0,-,0,-,0,-,-,-0.38,0.04,-,0,0,0,0,-,-,-,-,0.26,-,-,-,-146.34,-179.89,-146.34,-,-,-,-,188.27,-,-,23.17,23.17,-66.61,-,106.04,37.9,-,-,0,-
AEE,Aura Energy Limited,0,0.03,0.02,135.71,1.09,22310000,-,0,-,0,-,0,-,-,0.03,0,0.59,0,0,0,0,0,0,0,0,-195.88,-11.78,-17.86,-11.78,-11.25,-17.11,-11.25,-11.78,-17.86,-11.78,2,322.29,-,-,"-32,561.51","-35,971.69","-33,111.61",-,-48.33,-20.05,-,-,1350000,1740000
AEEN,AURA EN DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AEF,Australian Ethical Investment Limited,2.72,86.54,84.06,40.98,7.34,96570000,31.84,1.8,1.8,3,3,3,3.49,2.52,11.71,12.86,3.19,0,0,0,0,0,0,0,0,-,24.66,19.51,24.66,17.25,13.86,17.25,25.12,20.03,25.12,0.14,1.1,-,85.58,22.1,20.53,13.06,21.75,7.91,9.08,19.36,6.47,660,240
AEG,Absolute Equity Performance Fund Ltd,-,1.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,405.00","94,352.00"
AEH,Aveo Healthcare Ltd,-0.02,0,1.22,-,0.56,-,-,0,-,0.02,-,0,-,4.96,2.34,0.04,0.05,4.31,3.87,47.81,48.32,13.76,12.29,152.54,153.32,0.78,-1.2,0.96,-1.23,-0.6,0.53,-0.62,-0.73,1.23,-1.66,-,1.1,-,76.89,102.43,101.92,-32.77,-,-27.7,-5.79,-,-,0,203
AEI,Aeris Environmental Ltd,-0.01,0.38,0.41,-11.49,10.87,60670000,-,0,-,0,-,0,-,-,0.04,0.04,4.38,0,0,14.37,14.37,0,0,18.56,18.56,-24.14,-35.81,-110.88,-35.81,-25.77,-50.91,-25.77,-35.86,-280.62,-35.86,0.55,80.76,-,74.58,-168.83,-173.53,-149.91,-,9.65,0.17,-,-,0,"25,675.00"
AEJ,Redbank Energy Ltd,36.78,0,-,-,-,-,0,0,-,0,-,0,-,-,20.54,0,0.24,0,0,76.02,76.02,0,0,"1,193.99","1,193.99",-,50.11,1.28,50.11,10.67,0.79,10.67,"1,720.07",5.51,"1,720.07",-,0.79,-,-,27.79,-17.53,29.17,-,-42.38,-,-,-,0,-
AEK,Anatolia Energy Ltd,-0.01,0,0.07,-23.08,0.77,-,-,0,-,0,-,0,-,-,0.08,0.01,1.34,0,0,3.78,3.78,0,0,4.04,4.04,-,-9.14,-10.35,-9.14,-8.73,-9.98,-8.73,-9.14,-10.22,-9.14,0.98,264.79,-,-,-448.01,-448.01,-448.01,-,137.68,-33.69,-,-,0,"207,409.00"
AEKN,ANATOLIA DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AER,AEERIS FPO,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"2,212.00"
AERXBB,Aeeris Ltd,-,-,-,-,-,-,-,0,-,0,-,0,-,-,0.05,0.03,6.4,0,0,0,0,0,0,0,0,-463.63,-42.69,-,-42.69,-39.6,-,-39.6,-42.69,-,-42.69,-,11.29,-,84.84,-62.34,-76.86,-76.86,-,-,-,-,-,-,-
AES,Advanced Energy Systems Limited,0,0,-,-,-,-,-,0,-,0,-,0,-,-,0.01,0,0.39,0,0,5.55,6.26,0,0,6.49,7.48,-,-5.87,-5.85,-2.4,-1.64,-2.11,-2.09,-5.87,-5.85,-2.4,-,226.17,-,-,-350.82,-351.47,-323.77,-,-17.64,-43.21,-,-,0,-
AEV,Avenira Ltd,-0.03,0.11,0.19,10,0.89,57950000,-,0,-,0,-,0,-,-,0.12,0.05,7.83,0,0,0,0,0,0,0,0,-38.06,-18.09,-19.06,-18.09,-16.04,-18.37,-16.04,-19.73,-19.52,-19.73,1.02,215.31,-,-,"-1,061.43","-1,362.74","-1,391.05",-,-12.73,-,-,-,"50,000.00","65,641.00"
AEX,Connected IO Ltd,-0.05,0.01,0.03,-,2.31,2330000,-,-,-,-,-,0,-,-,0.01,0,1.84,0,0,0,0,0,0,0,0,-,-80.37,-338.61,-80.37,-50.44,-92.98,-50.44,-80.37,-338.61,-80.37,1.79,78.57,-,89.63,"-1,115.71",-876.3,-876.31,-,6.39,10.28,-,-,0,-
AEXCD,Connected IO Ltd,-0.05,0,-,-,-,1960000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AEZ,APN European Retail Property Holdg Trust,-0.1,0,0,-80,-,-,-,0,-,0,-,0,-,-,-0.17,0.04,0.45,9.88,0.59,98.04,107.78,-,-,-,-,0.3,-,-13.33,-87.19,-15.08,-8.22,-11.52,-,-30.75,-,2.95,472.08,-,76.63,52.75,-154.54,-163.39,-,-7.76,-,-,-,0,"17,668.00"
AFA,ASF Group Limited,-0.03,0.2,0.24,-23.08,8.85,120690000,-,0,-,0,-,0,-,-,0.02,0,0.18,0,0,54.31,54.31,0,0,121.71,121.71,-8.97,-73.17,-45.14,-73.17,-47.61,-32.43,-47.61,-71.41,-42.64,-71.41,-0.27,101.19,-,69.26,-612.15,"-1,326.72","-1,396.69",-,-23.2,-10.69,-,-,0,"15,421.00"
AFG,Australian Finance Group Ltd,0.11,1.35,1.14,36.36,3.28,290000000,12.8,0.05,0.05,0.08,0.08,0.08,6.22,6.44,0.41,0.56,-,42.42,84.1,90.66,90.66,876.85,"1,738.52","1,873.99","1,873.99",-,1.63,1.6,1.86,1.28,1.34,1.28,28.2,22.93,28.2,-,121.32,-,10.81,6.32,6.1,4.57,20.14,17.75,-,20.14,-,"85,873.00","677,424.00"
AFI,Australian Foundation Investment Co.Ltd.,0.21,5.9,5.7,2.45,1.22,6710000000,27.99,0.1,0.1,0.24,0.24,0.24,4.1,204.13,4.78,0.14,0.88,0,0,2.95,2.71,0,0,3.51,3.25,-,3.62,4.44,4.15,3.56,4.36,4.06,4.26,5.31,4.89,0.62,"1,112.96",-,95.13,90.1,90.1,86.66,2.63,3.43,4.36,0.68,0.28,"375,946.00","268,192.00"
AFJ,Affinity Education Group Ltd,-0.01,0.92,0.94,-16.27,1.07,212990000,-,0,-,0,-,0,-,-,0.86,0.02,0.5,11.24,11.69,11.59,11.83,14.87,15.47,15.33,15.65,21.1,-0.58,-,-3.43,-0.52,-,-3.04,-0.64,-,-3.86,-,149,-,91.89,13.62,3.4,-0.73,-,-,-,-,-,0,"203,142.00"
AFP,AFT Pharmaceuticals Ltd,-0.18,2.5,3.02,-2.48,9.43,256050000,-,0,-,0,-,0,-,1.65,0.29,0.29,4.46,35.47,40.96,35.47,40.96,82.04,122.07,82.04,122.07,-2.51,-52.06,-,-35.78,-37.88,-,-26.93,-162.64,-,-87.71,-,23.01,-,37.3,-20.32,-21.56,-27.86,-,-,-,-,-,0,"1,040.00"
AFR,African Energy Resources (Guernsey) Ltd.,0,0.04,0.04,-30.77,0.87,21310000,-,0,-,0,-,0,-,-,0.04,0.01,20.64,0,0,0,0,0,0,0,0,-4.97,-8.46,-34.36,-8.46,-8.38,-28.59,-8.38,-8.46,-34.61,-8.46,1.3,396.3,-,-,"-1,162.00","-1,162.00","-1,395.64",-,11.07,-,-,-,"81,650.00","113,747.00"
AFT,AFT Corporation Ltd,0,0,0,0,12.1,8510000,-,0,-,0,-,0,-,-,0,0,2.45,35.23,0,35.23,0,128.77,0,128.77,0,-15.18,-45.63,-28.44,-53.42,-26.98,-22.46,-41,-87.53,-39,-153.74,-,"2,691.06",-,57.12,-36.29,-36.87,-39.65,-,-36.91,39.2,-,-,0,"34,483.00"
AFY,Afterpay Holdings Ltd,-0.06,2.64,-,-,11.57,204040000,-,0,-,0,-,0,-,-,0.23,0.12,29.64,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,44.5,-,81.32,-195.6,-278.97,-256.81,-,-,-,-,-,"91,644.00","64,531.00"
AGB,ATLAN GOLD CDI 1:1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"6,925.00"
AGD,Austral Gold Limited,0.05,0.16,0.17,9.49,0.67,83040000,3.33,0,0.01,0,-,0,-,-,0.23,0.06,2.66,1.52,1.52,2.89,2.89,2.46,2.46,4.68,4.68,-,20.84,-5.45,22.44,15.39,-4.74,16.57,24.61,-11.1,26.33,0.52,87.57,-,34.48,31.27,65.65,56.15,7.2,46.95,43,-12.94,8.71,"184,888.00","7,784.00"
AGE,Alligator Energy Ltd,-0.03,0.02,0.01,26.67,0.51,8150000,-,0,-,0,-,0,-,-,0.04,0,4.06,0,0,0,0,0,0,0,0,-,-55.49,-14.89,-55.49,-54.51,-14.5,-54.51,-56.01,-14.93,-56.01,1.53,262.34,-,-,"-4,293.31","-41,295.99","-41,295.95",-,-42.88,-,-,-,1800000,1840000
AGF,Amp Capital China Growth Fund,-0.57,0,0.32,-36.32,0.22,-,-,0.23,0.1,-,0.1,0.23,33.46,1.13,1.31,0,-,0,0,0,0,0,0,0,0,"2,582.80",-38.17,15.99,14.64,-38.1,14.98,12.9,-38.2,15.99,14.64,0.73,462.02,-,-,-,-,-,-,101.27,-,-,-,0,"739,768.00"
AGG,AngloGold Ashanti Limited (CHESS),-,3.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000.00","3,759.00"
AGI,Ainsworth Game Technology Limited,0.17,1.85,2.15,-8.89,1.97,612510000,10.86,0.05,0.05,0.1,0.1,0.1,5.28,20.9,0.96,0.08,4.36,15.55,15.55,15.57,15.57,21.46,21.46,21.49,21.49,-,16.28,26.74,16.28,14.2,22.52,14.2,18.68,28.72,18.68,1.2,113.8,-,60.14,23.74,23.74,19.51,19.23,23.85,12.84,15.59,25.25,"476,291.00","251,167.00"
AGIN,AINSWORTH DEF X NTE,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AGJ,Agricultural Land Trust,0.02,0.05,0.05,-30.67,0.45,5070000,3.4,-,-,-,-,0,-,0,0.11,0.01,0.11,0,0,47.06,47.06,0,0,89.37,89.37,-,9.65,-11.05,9.65,7.26,-6.02,7.26,14.27,-19.58,14.27,-0.28,18.13,-,-,-210.47,-210.47,"1,732.56",-9.97,-61.36,-0.78,-11,-,0,725
AGKN,AGL ENERGY DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AGL,AGL Energy Ltd,-0.6,22.24,19.54,21.14,1.91,14950000000,-,0.36,0.36,0.68,0.68,0.68,3.03,446,11.73,0.48,1.41,21.13,23.19,21.28,26.49,38.99,42.79,39.27,48.88,1.63,-3.19,1.49,-3.19,-2.67,1.24,-2.67,-4.88,2.29,-4.88,0.48,664.8,-,27.26,14.81,-2.3,-3.65,-,9.53,39.94,-,-,1860000,1340000
AGO,Atlas Iron Limited,-0.06,0.05,0.02,206.67,1.53,430000000,-,0,-,0,-,0,-,0,0.03,0.01,1.83,29.33,29.33,30.31,30.31,68.87,68.87,71.18,71.18,-0.28,-26.41,-24.17,-26.41,-22.58,-21.8,-22.58,-64.86,-29.79,-64.86,2.56,"7,315.20",-,1.5,5.15,-14.24,-20.24,-,6.08,123.74,-,-,133030000,146820000
AGR,Aguia Resources Limited,-0.02,0.08,0.1,-18,1.25,37500000,-,0,-,0,-,0,-,-,0.07,0.01,3.93,0,0,0.86,0.86,0,0,0.89,0.89,-80.53,-26.64,-33.82,-26.64,-25.1,-32.9,-25.1,-26.64,-33.82,-26.64,-1.47,449.87,-,-,"-4,462.98","-9,922.46","-9,978.27",-,-25.69,-,-,-,"147,414.00","312,719.00"
AGS,Alliance Resources Limited,0.47,0.08,0.09,26.79,0.35,8550000,0.17,0,-,0,-,0,-,-,0.24,0.24,178.53,0,0,0,0,0,0,0,0,-,193.83,9.48,193.83,182.19,8.72,182.19,194.53,9.5,194.53,1.36,52.44,-,-,-148.64,"6,884.52","6,884.52",-,-19.43,-,-,-,"156,831.00","54,202.00"
AGU,Aurium Resources Limited,0,0,0.01,-22.22,0.93,-,-,0,-,0,-,0,-,-,0.02,0,1.29,0,0,0,0,0,0,0,0,-,-15.54,-37.85,-15.54,-13.49,-35,-13.49,-15.54,-37.85,-15.54,1.69,170.18,-,-,-307.08,-307.41,-307.41,-,-,-,-,-,0,"33,333.00"
AGXDA,AGENIX LTD DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"51,810.00"
AGY,Argosy Minerals Limited,0,0.03,0.03,"1,200.00",170.58,19360000,-,0,-,0,-,0,-,-,0,0,0.72,0,0,80.12,20.05,0,0,537.32,30.9,-2.8,-34.02,-126.15,-96.23,-23.11,-108.88,-55.28,-47.09,-165.14,-181.82,1.76,554,-,-,"-3,733.76","-4,111.68","-5,174.62",-,-29.69,-25.33,-,-,1030000,"912,775.00"
AHC,AHC Ltd,0.01,0,2.1,3.96,0.39,-,0,-,-,-,-,0,-,0.55,5.39,0.32,6.41,47.85,47.85,47.97,47.97,116.99,116.99,117.29,117.29,-,5.79,1.11,5.79,5.68,1.07,5.68,14.25,2.56,14.25,-,0.08,-,77.38,40.71,39.98,47.15,-,7.65,-4.55,-,17.8,0,"1,563.00"
AHF,Australian Dairy Farms Group,-0.02,0.17,0.19,-46.88,1.12,32610000,-,0,-,0,-,0,-,-,0.15,0.01,1.04,23.23,23.23,29.34,29.34,37.82,37.82,47.78,47.78,-6.08,-14.6,-18.43,-14.6,-9.57,-10.92,-9.57,-21.86,-27.89,-21.86,-,128.48,-,-,-2.26,-34.48,-37.62,-,297.9,18.87,-,-,"217,108.00","163,331.00"
AHG,Automotive Holdings Group Ltd,0.29,3.92,4.05,-10.48,1.73,1300000000,13.34,0.13,0.13,0.22,0.22,0.22,5.73,68.97,2.27,0.35,1.19,15.18,15.25,49.85,49.93,47.89,48.12,157.3,157.52,4.58,9.49,9.85,9.49,4.67,4.63,4.67,13.18,12.97,13.18,1.18,230.6,-,25.96,3.86,3.09,1.72,23.61,11.01,15.01,16.75,7,"721,292.00","719,935.00"
AHJ,Air Change International Limited,-0.04,0,-,-,-,-,-,0,-,0,-,0,-,-,0.54,0.05,2.23,0,0,0,0,0,0,0,0,-33.64,-6.99,5,-6.99,-5.48,3.85,-5.48,-7.13,5.13,-7.13,-,8.92,-,53.06,1,-4.34,-4.57,-,41.86,56.06,-,-,0,-
AHK,ARK Mines Ltd,-0.02,0.16,0.18,-,52.29,7860000,-,0,-,0,-,0,-,-,0,0,0.29,47.5,47.5,47.5,47.5,552.32,552.32,552.32,552.32,-8.58,-89.63,-70.55,-89.63,-56.89,-65.17,-56.89,-274.24,-77.07,-274.24,0.78,24.42,-,-,"-44,916.50","-70,072.16","-75,310.31",-,-51.59,-,-,-,0,"11,020.00"
AHL,Ahalife Holdings Ltd,-0.13,0.07,0.16,-86.84,2.22,10070000,-,0,-,0,-,0,-,-,0.03,0.04,3.96,0,0,0,0,0,0,0,0,-267.86,"-1,268.85","-1,098.22","-1,268.85",-478.09,-202.3,-478.09,"-1,307.04","-1,476.58","-1,307.04",1.11,81.13,-,39.99,-154.41,-274.28,-274.28,-,9.09,21.65,-,-,"9,483.00","12,936.00"
AHN,Athena Resources Limited,0,0.04,0.02,135.29,1.23,8670000,71.43,0,-,0,-,0,-,-,0.03,0,0.83,0,0,0,0,0,0,0,0,-,1.27,-9.29,1.27,1.13,-8.41,1.13,1.27,-9.29,1.27,1.76,77.06,-,-,"-6,982.84","-7,033.14","1,228.99",-,-30.53,-,-,-,"350,000.00","57,407.00"
AHNN,ATHENA RES DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AHQ,Allegiance Coal Ltd,-0.09,0.04,0.04,10,-,5930000,-,0,-,0,-,0,-,-,-0.01,0.04,0.69,0,0,118.79,118.79,-,-,-,-,-,-261.54,-41.21,-261.54,-96.7,-27.47,-96.7,-261.54,-50.1,-261.54,1.66,160.22,-,-,-381.68,"-4,853.33","-4,802.16",-,-,-,-,-,"100,000.00","171,589.00"
AHR,Anchor Resources Limited,-0.03,0.03,0.02,-,-,1310000,-,0,-,0,-,0,-,-,-0.03,0.02,8.41,115.66,115.66,115.66,115.66,-,-,-,-,-5.86,-15.3,-18.71,-15.3,-15.12,-18.33,-15.12,-,-94.36,-,-,0.43,-,-,"-7,275.89","-7,530.81","-8,816.38",-,-18.18,-,-,-,0,-
AHX,Apiam Animal Health Ltd,-0.08,1.15,1.45,-10.27,2.55,116350000,-,-,-,-,-,0,-,-,0.46,0.02,1.32,15.19,15.19,20.51,20.51,25.99,25.99,35.07,35.07,8.02,-,-,0.32,-,-,0.24,-,-,0.22,-,17.69,-,46.82,7.67,2.79,0.17,-,-,-,-,-,"7,247.00","71,069.00"
AHY,Asaleo Care Ltd,0.13,1.37,1.67,-14.64,2.33,751400000,10.9,0.04,0.04,0.1,0.08,0.1,5.99,56.73,0.59,0.06,1.93,38.28,40.74,38.28,40.74,88.44,102.63,88.44,102.63,11.65,10.3,-,11.41,8.83,-,9.8,19.83,-,20.98,-,328.11,-,41.9,22.67,17.39,11.17,-,-,-,-,-,3120000,1390000
AHZ,Admedus Ltd,-0.13,0.37,0.35,-42.75,3.55,93000000,-,0,-,0,-,0,-,-,0.11,0.04,4.53,0,0,0,0,0,0,0,0,-,-86.8,-63.49,-86.8,-73.87,-55.58,-73.87,-84.3,-60.29,-84.3,1.09,239.67,-,36.2,-162.5,-177.59,-177.59,-,15.88,56.07,-,-,"261,472.00","249,295.00"
AHZN,ALLIED HGL DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AHZNA,ALLIED HGL DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AIA,Auckland International Airport Ltd,-,6.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,941.00","60,478.00"
AIB,Aurora Global Income Trust,0.07,0.76,0.77,-7.83,1,5770000,11.07,0.03,0.02,0.07,0.06,0.07,8.41,0.43,0.77,0.72,-,0,0,14.89,14.89,0,0,20.5,20.5,0.75,-0.86,0.33,-0.86,-0.72,0.29,-0.72,8.23,9.91,8.23,-0.1,7.51,-,46.85,44.25,-15.1,-15.1,-17.07,-23.17,-,-11.44,-,0,"3,888.00"
AIE,Autodom Limited,-0.03,0,0.01,-13.33,0.35,-,-,0,-,0,-,0,-,-,0.04,0,0.7,2.86,2.86,22.02,22.02,16.64,16.64,128.36,128.36,-5.26,-44.38,-26.85,-44.38,-9.85,-7.36,-9.85,-50.96,-32.65,-50.96,1.5,27.62,-,29.4,-1.31,-4.64,-4.64,-,4.66,-5.14,-,-,0,-
AIG,Bill Peach Group Ltd,-0.05,0,0.08,0,-,-,-,0,-,0,-,0,-,-,-0.1,0.02,0.17,49.25,49.25,74.26,74.26,-,-,-,-,-1.97,-98.96,-60.77,-98.96,-12.95,-8.34,-12.95,-,-281.82,-,-,9.73,-,22.61,-7.52,-11.46,-11.46,-,-4.95,-1.66,-,-,0,-
AIK,Armidale Investment Corporation Ltd,0.03,0.19,0.14,91.85,1.19,190370000,7.37,0,-,0,-,0,-,-,0.16,0.01,1.04,0,0,0,0,0,0,0,0,-,19.5,17.97,19.5,18.85,17.56,18.85,19.53,19.03,19.53,0.78,684.48,-,-,88.79,87.61,87.19,6.44,107.66,-29.23,-17.69,-9.2,"283,772.00","537,206.00"
AIN,Auto Innovations Group Ltd,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0.39,0,-,0.46,-,0,-,1.59,-,-91.28,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
AIO,Asciano Ltd,0.28,0,8.02,8.82,1.97,-,0,0,0.87,0.13,0.13,0.13,1.57,126.4,4.2,0.21,1.19,42.6,42.6,42.61,42.61,91.26,91.26,91.27,91.27,3.38,3.5,4.16,3.5,3.11,3.7,3.11,6.77,8.02,6.77,0.62,481.53,-,93.66,27.27,16.5,7.65,10.01,3.19,-,10,-,0,2510000
AIQ,Alternative Investment Trust,-0.01,0.09,0.09,4.71,0.64,11630000,-,0,0.02,-,-,0,-,-,0.14,0.03,-,0,0,0,0,0,0,0,0,-,-9.94,2.74,1.42,-9.8,2.7,1.4,-9.94,2.8,1.42,-0.09,51.84,-,-,-,-,-,-,-,-,-,-,0,"1,637.00"
AIR,Astivita Ltd,-0.03,0.07,0.08,-28,0.38,4480000,-,0,-,0,-,0,-,-,0.19,0.02,11.79,30.91,30.91,30.91,30.91,49.24,49.24,49.24,49.24,-9.51,-11.78,-14.21,-11.78,-11.15,-12.21,-11.15,-16.54,-15.75,-16.54,0.25,35.44,-,25.99,-17.79,-20.57,-15.42,-,-33.87,5.92,-,-,0,"2,840.00"
AIS,Aeris Resources Ltd,-0.01,0.05,0.05,37.84,4.58,7010000,-,0,-,0,-,0,-,-,0.24,0.12,1.14,50.12,50.12,56.64,56.64,253.11,253.11,286.03,286.03,-0.77,37.85,-50.26,37.85,12.89,-21.6,12.89,-,-149.8,-,1.9,71.81,-,-1.23,12.28,16.47,11.56,-,9.16,-,-,-,"19,910.00","71,195.00"
AIV,ActivEX Limited,-0.01,0.06,0.07,68.1,1.11,10510000,-,0,-,0,-,0,-,-,0.06,0.01,6.29,0,0,0,0,0,0,0,0,-,-10.83,-18.15,-10.83,-10.59,-17.61,-10.59,-10.83,-19.51,-10.83,-0.24,17.36,-,-,"-3,271.50","-3,393.49","-3,393.49",-,-5.66,-7.41,-,-,0,"2,611.00"
AIY,Authorised Investment Fund Limited,0,0.02,0.03,-,1.86,3400000,-,0,-,0,-,0,-,-,0.01,0,1.07,0,0,0,0,0,0,0,0,-,-12.99,1.92,-12.99,-12.89,1.85,-12.89,-12.99,1.92,-12.99,-,41.53,-,-,"-11,791.20","-19,855.20","-19,854.40",-,-48.87,-37.53,-,-,0,"23,333.00"
AIYN,AUTHINVEST DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AIZ,AIR N.Z. FPO NZ,-,2.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"477,165.00","103,379.00"
AJA,Astro Japan Property Group,2.18,6.3,6.8,22.81,0.76,382110000,2.89,0.18,0.21,0.36,0.39,0.36,6.19,20.62,8.3,0.82,6.82,0,0,0,0,0,0,0,0,-,29.46,10.38,29.46,28.73,8.22,28.73,29.48,16.04,29.48,0.32,51.9,-,-,84.32,84.28,737.56,-,-30.69,-10.08,-,3.05,"36,826.00","28,069.00"
AJC,ACACIACOAL FPO,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4820000,"999,776.00"
AJD,Asia Pacific Data Centre Group,0.28,1.56,1.51,18.94,1.1,179400000,5.67,0,0.02,0,0.1,0,6.17,10.75,1.43,0.05,1.67,12.88,12.88,12.88,12.88,15.16,15.16,15.16,15.16,26.64,17.7,-,17.7,17.36,-,17.36,20.63,-,20.63,0.28,102.41,-,-,96.7,96.7,93.07,-,-,-,-,-,"148,731.00","46,432.00"
AJDCA,Asia Pacific Data Centre Group,-,-,1.07,-3.67,105,-,-,0.04,0.02,0,0.06,-,6,1.58,0.01,0.05,0.47,0.6,17.65,0.6,17.65,66.96,"2,275.65",66.96,"2,275.65",-,-,-,-,-,-,-,-,-,-,-,81.21,-,-,-,-,-,-,-,-,-,-,-,-
