symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
RMG,RMG Limited,-0.06,0.01,0.01,0,-,4310000,-,0,-,0,-,0,-,-,0,0,0.02,0,0,101.77,101.77,-,-,-,-,-,-220.01,-39.1,-220.01,-173.94,-36.07,-173.94,-220.01,-39.09,-220.01,1.65,317.15,-,-,-,-,-,-,-,-,-,-,0,"30,117.00"
RMI,Resource Mining Corporation Limited,-0.01,0,0,-20,-,1190000,-,0,-,0,-,0,-,-,-0.01,0,0.02,0,0,4.88,4.88,-,-,-,-,-4.12,-,-19.92,-,-490.19,-18.23,-490.19,-,-20.79,-,-1.88,89.4,-,-,"-33,342.41","-33,467.23","-41,599.04",-,-46.4,-23.44,-,-,0,"2,914.00"
RMINB,RES MINING DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RMP,Red Emperor Resources NL,-0.02,0.02,0.02,5,0.76,8930000,-,0,-,0,-,0,-,-,0.03,0.03,167.96,0,0,0,0,0,0,0,0,-21.87,-66.99,-29.42,-66.99,-64.85,-29.02,-64.85,-66.99,-29.42,-66.99,0.74,353.12,-,-,"-3,608.70","-3,608.70","-3,773.68",-,3.7,-,-,-,"452,940.00","215,810.00"
RMR,Ram Resources Ltd,-0.02,0.03,0.04,-32.5,0.17,5510000,-,0,-,0,-,0,-,-,0.16,0,0.8,0,0,0,0,0,0,0,0,"-29,558.00",-12.61,-68.62,-12.61,-17.36,-60.51,-17.36,-12.61,-38.58,-12.61,4.55,166,-,-,"-2,007.82","-4,063.33","-3,712.22",-,-41.46,-12.86,-,-,"587,168.00","127,626.00"
RMS,Ramelius Resources Limited,0.06,0.63,0.48,185.11,2.5,333520000,10.84,0,-,0,-,0,-,-,0.27,0.09,2.49,0,0,0,0,0,0,0,0,30.47,18.32,-10.01,18.32,15.8,-8.72,15.8,24.47,-13.15,24.47,0.89,506.09,-,18.94,44.71,14.74,15.98,-14.95,3.24,81.13,-22.6,-,2050000,5940000
RMT,RMA Energy Ltd.,0,0,0,-70,-,5480000,-,0,-,0,-,0,-,-,0,0,3.52,222.63,229.73,222.63,229.73,-,-,-,-,-21.08,-125.62,-38.12,-136.2,-113.31,-37.25,-108.66,-,-42.9,"-2,031.99",-,259.86,-,-,"-21,805.26","-22,635.09","-25,227.49",-,-,-,-,-,0,"3,559.00"
RMTN,RMA ENERGY DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RMX,Red Mountain Mining Ltd,-0.01,0.04,0.03,-35.55,0.13,12420000,-,0,-,0,-,0,-,-,0.26,0.01,1.6,0,0,0,0,0,0,0,0,-13.08,-1.51,-17.67,-1.51,-1.45,-16.79,-1.45,-0.25,-17.4,-0.25,-1.94,354.21,-,-,"-1,724.29",-175.51,-310.32,-,65.88,-,-,-,11070000,6590000
RNC,Little Real Estate Ltd,0.01,0,0.35,65.91,2.34,-,0,0,-,0.01,-,0,-,0.48,0.16,0.03,0.38,31.69,31.86,43.5,33.04,71.72,57.95,98.43,60.1,2.61,4.56,1.21,4.76,3.78,1.05,3.55,7.63,4.45,8.34,-0.98,3.75,-,-,16.44,11.81,5.47,-,-1.08,-,-,-,0,"11,666.00"
RND,Rand Mining Ltd,0.25,1.75,2.32,27.41,1.52,105260000,6.89,0,-,0,-,0,-,-,1.13,0.06,6.75,0.52,0.52,0.95,0.95,0.63,0.63,1.14,1.14,-,22.87,14.65,22.87,21.39,13.3,21.39,25.3,16.03,25.3,1.52,16.64,-,122.93,62.94,45.86,47.6,25.22,19.45,14.88,25.51,34.84,"2,800.00","8,963.00"
RNE,Renu Energy Ltd,-0.02,0.01,0.02,-48,0.43,7320000,-,0,-,0,-,0,-,-,0.03,0.03,4.62,0,0,0,0,0,0,0,0,-35.91,-50.27,-42.26,-50.27,-38.65,-37.23,-38.65,-51.03,-44.32,-51.03,1.13,467.75,-,-,-909.81,"-1,434.33","-1,057.26",-,-16.88,-0.15,-,-,"127,235.00","296,015.00"
RNGDA,RANGERIVER DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RNI,RNI NL,-0.01,0.01,0.01,27.27,1.46,20280000,-,-,-,-,-,0,-,-,0.01,0,3.15,0,0,1.21,1.21,0,0,1.29,1.29,-0.58,-46.1,-59.01,-46.1,-23.7,-40.88,-23.7,-70.6,-78.84,-70.6,1.72,"1,205.14",-,-,"-4,728.10","-6,544.39","-14,635.27",-,-7.17,-,-,-,"764,918.00",6940000
RNIN,RESOURCE DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RNL,Rision Ltd,-0.01,0.01,0.01,-,1.77,4370000,-,0,-,0,-,0,-,-,0,0,2.89,0,0,14.26,14.26,0,0,19.41,19.41,-42.84,-155.38,-158.58,-155.38,-123.71,-107.65,-123.71,-155.38,-158.58,-155.38,1.98,485.28,-,-,"-9,620.98","-10,667.71","-10,645.34",-,-64.66,-43.15,-,-,0,"750,168.00"
RNO,Rhinomed Ltd,-0.01,0.01,0.02,-43.33,1.95,12210000,-,0,-,0,-,0,-,-,0.01,0,3.92,0,0,0,0,0,0,0,0,-,-91.7,-62.22,-91.7,-80.48,-52.63,-80.48,-91.7,-62.45,-91.7,2.42,576.1,-,69.15,-589.47,-641.6,-592.48,-,77.39,36.54,-,-,"525,992.00","190,911.00"
RNS,Renaissance Minerals Limited,-0.01,0,0.05,103.03,1.78,-,-,0,-,0,-,0,-,-,0.04,0.01,6.67,0,0,0,0,0,0,0,0,-770.3,-15.24,-25.94,-15.24,-14.85,-22.52,-14.85,-15.26,-28.2,-15.26,2.01,10.79,-,-,"-6,050.08","-6,145.64","-5,522.27",-,-28.01,-,-,-,0,"351,917.00"
RNT,Rent.com.au Ltd,-0.12,0.09,0.12,-70.07,2.44,15330000,-,0,-,0,-,0,-,-,0.04,0.04,3.45,0.89,0.89,1.47,1.47,1.21,1.21,2.01,2.01,-412.67,-259.26,-,-259.26,-208.41,-,-208.41,-271.74,-,-271.74,-,136.39,-,-,"-1,691.93","-1,725.09","-1,712.84",-,-,-,-,-,"562,962.00","103,834.00"
RNU,Renascor Resources Ltd,0,0.03,0.03,87.5,1.75,14000000,-,0,-,0,-,0,-,-,0.02,0,2.16,0,0,0,0,0,0,0,0,-,-18.92,-21.63,-18.92,-14.98,-20.15,-14.98,-19.18,-21.71,-19.18,1.99,267.5,-,-,"-2,258.32","-3,221.71","-3,178.86",-,-31.87,-,-,-,"527,521.00","472,402.00"
RNY,RNY Property Trust,-0.3,0.04,0.1,-84.23,0.12,11590000,-,0,-,0,-,0,-,-,0.35,0,0.03,0.17,0.21,0.17,0.21,0.19,0.23,0.19,0.23,0.2,-73.75,-5.54,-56.61,-69.63,-3.41,-53.78,-73.86,-6.78,-56.69,0.52,255.1,-,41.02,31.6,29.65,-141.25,-,-6.08,-,-,-,"151,000.00","50,408.00"
ROC,Roc Oil Company Limited,0.14,0,0.63,48.91,1.3,-,0,0,-,0,-,0,-,-,0.51,0.13,1.54,0,0,0,0,0,0,0,0,157.21,22.04,-1.17,13.63,18.3,-0.9,11.52,28,-1.88,18.64,1.3,50.92,-,36.88,53.02,35.65,28.01,-,-6.87,19.36,-,15.4,0,-
ROG,Red Sky Energy Limited,0,0,0,0,2.31,6160000,-,0,-,0,-,0,-,-,0,0,1.19,0,0,2.26,7.28,0,0,4.38,18.48,-,-166.09,-56.91,-126.37,-75.21,-50.72,-74.64,-149.09,-56.09,-114.62,-0.09,"3,978.76",-,-,"-68,914.38","-70,626.71","-71,103.09",-,-44.09,7.79,-,-,0,-
ROK,Rock Building Society Ltd,0.19,2.75,2.4,4.96,1.14,69190000,14.16,0.08,-,0.14,-,0.14,-,3.75,2.41,1.18,-,-,-,34.91,34.91,718.72,718.72,718.72,718.72,-,-,-,-,0.39,0.36,0.39,8.14,9.09,8.14,0.46,22.01,-,-,138.38,22.73,15.88,1.06,2.01,13.86,-5.33,-0.51,0,-
ROL,Robust Resources Limited,-0.07,0,0.33,11.49,1.7,-,-,0,-,0,-,0,-,-,0.28,0.09,2.42,3.06,0.04,10.58,7.56,3.82,0.05,13.21,9.44,-10.86,-19.58,-21.03,-19.58,-16.72,-18.33,-16.72,-18.94,-20.18,-18.94,2.82,4.15,-,-,-612.38,-885.25,-955.59,-,85.33,-,-,-,0,"6,785.00"
ROYN,ROYAL RES DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RPF,Redcape Property Trust,-0.5,0.03,0.03,-89.8,0.08,4060000,-,0,-,0,-,0,-,-,0.32,0.03,0.04,0,0,82.28,98.55,0,0,"1,191.56","11,021.65",0.74,-24.07,-,-5.73,-10.39,-,-2.79,-171.51,-,-34.87,1.32,44.34,-,-,79.55,-21,-94.96,-,-,-,-,-,0,-
RPG,Raptis Group Limited,0,0.06,0.14,-80,5.9,3810000,150,0,-,0,-,0,-,-,0.01,0,1.38,0,0,64.89,64.89,0,0,237.92,237.92,-,7.09,-,7.09,1.93,-,1.93,7.09,-,7.09,-,3.28,-,-,263.88,263.88,263.88,-,-,-59.03,-,-44.49,"75,000.00","30,000.00"
RQL,Resource Equipment Ltd,-0.03,0,0.2,73.33,0.74,-,-,0,-,0,-,0,-,-,0.35,0.05,1.7,14.34,11.4,18.86,16.15,19.91,15.64,26.19,22.14,-2.89,-7.51,7.77,-3.51,-6.29,6.41,-2.98,-8.67,8.98,-4.21,1.42,32.96,-,5.77,6.7,-11.35,-11.75,-,-,11.79,-,-,0,"72,002.00"
RRIN,RICORESLTD DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
RRL,Regis Resources Limited,0.22,3.3,3.34,38.66,3.42,1650000000,14.86,0.09,0.09,0.13,0.13,0.13,3.94,49.98,0.96,0.2,3.26,0.25,0.25,0.44,0.44,0.31,0.31,0.54,0.54,-,22.06,12.48,22.06,20.19,11.27,20.19,25.07,14.61,25.07,0.72,446.31,-,33.24,46.85,31.69,22.27,25.24,35.81,128.57,21.96,-,4390000,4120000
RRLN,REGIS DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
