,column_name,importance
309,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.0018305236
293,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0018024625
109,twelve_week_std,0.0017884319
678,value__spkt_welch_density__coeff_8,0.0017884319
104,eight_week_total_return,0.0017800136
163,FIRMMCRT_T11_20P,0.0017556938
315,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.0017538231
299,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.0017425986
676,value__spkt_welch_density__coeff_2,0.0017341803
654,value__first_location_of_maximum,0.0017295034
395,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_5",0.0017192144
658,value__last_location_of_minimum,0.0017079898
170,GRCPAISAD_T6_10P,0.0017042484
227,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""rvalue""",0.0016967654
195,H01_GGDPCVGDPFY_T11_20P,0.0016920886
303,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",0.0016920886
125,twenty_six_week_comparison_adjustedPrice,0.001640643
657,value__last_location_of_maximum,0.0016144526
321,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.0016032282
197,H05_GLFSEPTPOP_T2_5P,0.0015583303
265,"value__augmented_dickey_fuller__attr_""teststat""",0.0015162386
327,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0014965957
208,"value__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""slope""",0.0014479563
266,"value__augmented_dickey_fuller__attr_""usedlag""",0.0014311196
20,asxpreviousclose,0.0014273782
5,previousClose,0.0014086707
340,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.0014011877
217,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""stderr""",0.0014011877
346,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.0014002523
245,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""stderr""",0.0013796742
452,"value__fft_aggregated__aggtype_""skew""",0.0013740619
407,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_5",0.0013740619
334,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.0013712558
129,twenty_six_week_dividend_return,0.0013394532
187,GRCPNRAD_T11_20P,0.0013085859
328,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.0012823954
181,GRCPBMAD_T2_5P,0.0012758479
174,GRCPBCAD_T6_10P,0.0012552696
391,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_5",0.0012543342
371,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.0012496574
58,one_week_bollinger_upper,0.0012440452
165,GRCPAIAD_T2_5P,0.001241239
88,four_week_price_return,0.001238433
75,two_week_price_return,0.0012374975
359,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.0012365622
137,fifty_two_week_bollinger_lower,0.0012272085
142,fifty_two_week_dividend_return,0.0012253377
26,exDividendPayout,0.0012122425
353,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0012113071
189,GRCPRCAD_T2_5P,0.0012019534
232,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""",0.0011823106
241,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""",0.0011795044
365,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.0011664092
178,GRCPBCSAD_T6_10P,0.0011589263
352,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0011439604
314,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.0011271236
298,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.0011196407
216,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""slope""",0.0011046748
387,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_5",0.0010831611
22,asxdayshigh,0.0010812904
320,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0010766136
308,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0010728721
377,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0010700659
229,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""stderr""",0.0010700659
253,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""",0.001032651
194,H01_GGDPCVGDPFY_T6_10P,0.0010289096
220,"value__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""",0.0010195558
417,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_2",0.0010186204
44,H01_GGDPCVGDP,0.0009634335
42,GRCPNRAD,0.00093724305
162,FIRMMCRT_T6_10P,0.0009325662
60,one_week_comparison_adjustedPrice,0.0009297601
112,twelve_week_comparison_adjustedPrice,0.000904505
143,fifty_two_week_total_return,0.00088112074
476,"value__fft_coefficient__coeff_1__attr_""imag""",0.00087457313
240,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""",0.0008652194
169,GRCPAISAD_T2_5P,0.0008586718
326,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.00083154597
99,eight_week_comparison_adjustedPrice,0.0008147093
139,fifty_two_week_price_change,0.00080629095
23,asxdayslow,0.0007903896
161,FIRMMCRT_T2_5P,0.00078758347
173,GRCPBCAD_T2_5P,0.00078290666
49,PE,0.00076794066
86,four_week_comparison_adjustedPrice,0.0007604577
55,one_week_mean,0.0007529747
53,one_week_min,0.00074549176
73,two_week_comparison_adjustedPrice,0.00074362097
380,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",0.00073707337
661,"value__linear_trend__attr_""rvalue""",0.00073052576
405,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_2",0.00071743055
32,DPSRecentYear,0.00070527074
319,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.00070527074
364,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.000695917
358,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0006790803
313,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.00067533884
339,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.00067346805
370,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0006715973
325,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.00066785584
133,fifty_two_week_mean,0.000663179
116,twelve_week_dividend_return,0.00065756676
376,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0006266995
193,H01_GGDPCVGDPFY_T2_5P,0.00061641034
333,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.00060986273
345,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00060331513
177,GRCPBCSAD_T2_5P,0.00060331513
54,one_week_max,0.0006023798
29,Beta,0.0005958322
65,one_week_total_return,0.00058554305
186,GRCPNRAD_T6_10P,0.0005771247
136,fifty_two_week_bollinger_upper,0.0005397098
665,value__partial_autocorrelation__lag_1,0.0005340976
351,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0005210024
413,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_2",0.0005135194
71,two_week_bollinger_upper,0.00049855345
