,symbol,mean_actual_val,median_actual_val,mean_predicted_val,median_predicted_val,mae,mape,rsquared,explain_variance,medae,num_vals
0,KZL,-16.951641082763672,-5.627189636230469,-14.467573165893555,-4.085440635681152,6.9036173820495605,44.70727741718292,0.9129493040409573,0.9169671535491943,4.143312454223633,246
0,KZR,-13.990096092224121,-10.88235092163086,-12.253251075744629,-8.714869499206543,7.973262310028076,103.62327098846436,0.8753898253237729,0.8785666823387146,5.730968475341797,50
0,LAA,-5.215197563171387,-3.9999961853027344,-4.420145511627197,-2.982248544692993,5.4913506507873535,63.099318742752075,0.8529090752845742,0.8545212745666504,3.8379104137420654,165
0,LAU,2.3107337951660156,1.090008020401001,2.303746223449707,0.07429012656211853,4.128395080566406,62.90547847747803,0.7613271703063851,0.7613275051116943,3.14424467086792,352
0,LBL,-1.2727758884429932,-1.562727451324463,-0.3715771734714508,-0.3906252980232239,6.731971740722656,68.77022385597229,0.7383670298276133,0.7409303188323975,4.76834774017334,276
0,LBT,-8.186660766601562,-6.250003337860107,-5.492397785186768,-2.27624249458313,8.474688529968262,66.32860898971558,0.7041989496983244,0.7160922288894653,5.748712539672852,344
0,LCA,1.4430713653564453,2.255645751953125,1.8287065029144287,1.2949539422988892,4.5283403396606445,42.29867160320282,0.7829580416584628,0.7838084697723389,2.8309402465820312,37
0,LCD,-13.111601829528809,-8.695653915405273,-7.864159107208252,-2.9446773529052734,13.947381973266602,78.69321703910828,0.6524514586220582,0.6743451356887817,8.788772583007812,275
0,LCG,-15.718602180480957,-6.559142112731934,-11.321548461914062,-3.113152503967285,11.874966621398926,62.51398324966431,0.7985772035179486,0.8108636140823364,7.962194442749023,218
0,LCK,-11.469107627868652,-9.973153114318848,-9.469629287719727,-3.9667532444000244,9.054789543151855,49.15185570716858,0.8697153968788316,0.8724421262741089,5.945620536804199,426
0,LCM,-2.5881619453430176,-0.7142850160598755,-2.143404960632324,0.0922325849533081,6.5802717208862305,66.709965467453,0.758649460844036,0.7590305209159851,3.34895396232605,427
