"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"KSN",0.032,,,,0.007,0.21875,"2017-02-03",0.033,0.039,0.039,0.044,0.004,25750000,,"ASX",9466782,-0.027,,0.004,"-295763.00",,8,,0,,,"0.000"
"KTE",0.02,,,,0,0,"2017-02-03",0.02,0.02,0.02,0.03,0.01,4880000,,"ASX",89,0,,0.01,"0.00",,1.33,,0,,,"0.00"
"KYK",0.21,,,,0,0,"2017-02-03",0.21,0.21,0.21,0.31,0.12,7270000,,"ASX",500,,,0.04,"-181999.00",12.96,5.38,,0,,,"0.00"
"KZR",0.19,,,,0,0,"2017-02-03",0.19,0.19,0.19,0.22,0.19,15810000000,,"ASX",51000,-0.03,,0.01,"288430.00",3133.93,13.57,,0,,,"0.00"
"LAU",0.37,,,"3/17/2016",0,0,"2017-02-03",0.37,0.37,0.37,0.54,0.36,107280000,,"ASX",127833,0.03,0.04,0.29,36010000,0.33,1.27,13.21,0,,,"0.00"
"LBT",0.34,,,,-0.005,-0.01471,"2017-02-03",0.335,0.345,0.335,1.085,0.105,38520000,,"ASX",246930,0.031,,0.167,4450000,5.06,2.036,10.806,0,,,"0.000"
"LCA",0.63,,,,0,-0.0079,"2017-02-03",0.63,0.63,0.63,0.63,0.63,20230000,,"ASX",17601,-0.07,,0.17,-3200000,36.08,3.67,,0,,,"0.00"
"LCD",0.03,,,,-0.001,-0.03333,"2017-02-03",0.029,0.029,0.029,0.062,0.028,2210000,,"ASX",1050,-0.018,,-0.009,"-322975.00",,,,0,,,"0.000"
"LCK",0.15,,,,0,0,"2017-02-03",0.15,0.15,0.15,0.4,0.09,39880000,,"ASX",9737,-0.02,,0.04,-5330000,1017.11,3.66,,0,,,"0.00"
"LCM",0.38,,,"9/9/2015",0,-0.013300000000000001,"2017-02-03",0.37,0.38,0.37,0.59,0.36,25470000,,"ASX",71901,-0.56,0.05,0.63,-11810000,0.24,0.59,,22.57,7.4,6.17,"0.00"
"LCT",0.12,,,,0.005,0.04167,"2017-02-03",0.115,0.125,0.125,0.125,0.045,62060000,,"ASX",362311,-0.007,,0.011,-3340000,83.627,10.909,,0,,,"0.000"
"LCY",0.006,,,,-0.001,-0.16667,"2017-02-03",0.005,0.005,0.005,0.016,0.002,7340000,,"ASX",150001,-0.001,,0.01,"-985302.00",48.032,0.6,,0,,,"0.000"
"LEG",0.012,,,,0,0,"2017-02-03",0.011,0.012,0.012,0.018,0.007,24410000,,"ASX",1290800,-0.001,,0.008,-1830000,206.348,1.5,,0,,,"0.000"
"LEP",4.38,,,"6/29/2016",-0.09,-0.020499999999999997,"2017-02-03",4.28,4.38,4.29,4.8,3.74,839850000,,"ASX",12798,0.47,0.15,2.53,49440000,15.27,1.73,9.23,11.49,28.6,28.6,"0.00"
"LER",0.14,,,,0,-0.0345,"2017-02-03",0.14,0.14,0.14,0.19,0.1,19980000,,"ASX",67260,-0.02,-0.01,0.01,-3160000,139.97,12.08,,0,,,"0.00"
"LEX",0.175,,,"1/26/2011",-0.01,-0.05714,"2017-02-03",0.15,0.165,0.165,0.26,0.01,4019999.9999999995,,"ASX",130000,-0.017,,-0.026,"0.00",609.7,,,0,,,"0.000"
"LGD",0.225,,,"3/17/2016",0,0,"2017-02-03",0.225,0.225,0.225,0.245,0.18,49120000,,"ASX",30000,0.024,0.01,0.314,11110000,0.413,0.717,9.375,2.15,22.5,7.5,"0.000"
"LHB",0.13,,,,0,0,"2017-02-03",0.13,0.13,0.13,0.16,0.04,107430000,,"ASX",20000,0,,0.03,-2210000,,4.64,,0,,,"0.00"
"LHC",2.35,,,"9/1/2016",0.04,0.017,"2017-02-03",2.35,2.4,2.39,3.02,1.25,101660000,,"ASX",20892,0.17,0.21,1.02,19180000,0.87,2.3,14.06,0,11.38,10.39,"0.00"
"LIC",3.67,,,"9/8/2016",0.02,0.0054,"2017-02-03",3.67,3.76,3.69,4,2.36,384540000,,"ASX",15481,0.19,0.21,1.26,10600000,5.47,2.91,19.95,2.31,17.57,15.38,"0.00"
"LIT",0.17,,,,0.01,0.0286,"2017-02-03",0.18,0.19,0.18,0.38,0.12,41680000,,"ASX",607952,-0.01,,0.04,-3300000,1415.63,4.07,,0,,,"0.00"
"LKO",0.002,,,"11/27/2014",0,0,"2017-02-03",0.002,0.002,0.002,0.003,0.001,23730000,,"ASX",700000,-0.004,,0.001,-2049999.9999999998,341.874,2,,0,,,"0.000"
"LLC",14.47,4.5,0.45,"8/24/2016",-0.18,-0.0124,"2017-02-03",14.24,14.53,14.29,14.86,11.48,7900000000,,"ASX",1090795,1.2,1.29,10.15,680500000,0.53,1.43,11.9,1,11.08,10.36,"0.00"
"LMG",0.027,,,,0.001,0.037040000000000003,"2017-02-03",0.027,0.028,0.028,0.038,0.007,34600000,,"ASX",666251,-0.001,,0.005,-1040000,,5.4,,0,,,"0.000"
"LML",0.04,,,,0,0,"2017-02-03",0.04,0.04,0.04,0.08,0.03,14740000,,"ASX",520000,0,,0.02,-1020000,,2.35,,0,,,"0.00"
"LNG",0.82,,,,0,0,"2017-02-03",0.81,0.85,0.82,1.29,0.46,418990000,,"ASX",1912922,-0.23,0,0.16,-122190000,736.36,5.09,,0,,,"0.00"
"LNK",7.56,,,,-0.06,-0.0079,"2017-02-03",7.47,7.6,7.5,9,6.95,2700000000,,"ASX",1469991,0.13,0.33,1.62,132650000,3.51,4.68,59.52,1.3,22.73,18.75,"0.00"
"LNU",0.05,,,,0,0.0417,"2017-02-03",0.05,0.05,0.05,0.09,0.04,28110000,,"ASX",662108,-0.05,,0.01,-4090000,1869.97,3.43,,0,,,"0.00"
"LNY",0.003,,,,0.001,0.33332999999999996,"2017-02-03",0.004,0.004,0.004,0.006,0.002,12090000,,"ASX",10875000,0,,0.003,"-673892.00",9069234,1,,0,,,"0.000"
"LOM",0.375,,,,0,0,"2017-02-03",0.375,0.39,0.375,0.55,0.28,121160000,,"ASX",500074,0.008,0,0.164,-3590000,,2.287,46.875,0,,,"0.000"
"LOV",3.78,,,"3/11/2016",-0.13,-0.0344,"2017-02-03",3.65,3.84,3.65,4.1,1.85,383250000,,"ASX",25586,0.16,0.23,0.11,30420000,2.59,35.66,23.25,0.67,15.87,14.6,"0.00"
"LPD",0.012,,,,0,0,"2017-02-03",0.012,0.013,0.012,0.013,0.012,,,"ASX",619000,-0.005,,0,"0.00",,,,0,,,"0.000"
"LPE",0.02,,,,0,0,"2017-02-03",0.02,0.02,0.02,0.05,0.02,27140000,,"ASX",2558880,-0.01,,0,-8650000,15.41,6.67,,0,,,"0.00"
"LPI",0.3,,,,0.025,0.08333,"2017-02-03",0.3,0.335,0.325,0.505,0.2,36310000,,"ASX",1853419,-0.035,,0.067,"0.00",,4.478,,0,,,"0.000"
"LRS",0.017,,,,0,0,"2017-02-03",0.017,0.018,0.017,0.024,0.003,20650000,,"ASX",8602077,-0.015,,0.002,-9830000,53.279,8.5,,0,,,"0.000"
"LSH",0.33,,,,-0.01,-0.030299999999999997,"2017-02-03",0.32,0.34,0.32,0.44,0.32,23760000,,"ASX",510412,,,0,"0.00",,82.5,,0,,,"0.00"
"LSR",0.01,,,,-0.001,-0.1,"2017-02-03",0.009,0.009,0.009,0.064,0.008,3480000,,"ASX",1336716,-0.006,,0.003,-1840000,,3.333,,0,,,"0.000"
"LSX",0.43,,,,-0.01,-0.0233,"2017-02-03",0.41,0.42,0.42,0.45,0.2,,,"ASX",23723,0.1,,0,"0.00",,,,0,,,"0.00"
"LTN",0.1,,,"12/23/2008",0,-0.047599999999999996,"2017-02-03",0.1,0.1,0.1,0.14,0.08,88320000,,"ASX",16693,0,0,0.1,5810000,2.4,1.09,,0,,,"0.00"
"LTR",0.026,,,,0.001,0.03846,"2017-02-03",0.026,0.028,0.027,0.046,0.012,18890000,,"ASX",9464230,-0.009,,0.004,"-790746.00",,6.5,,0,,,"0.000"
"LVH",0.43,,,,0.02,0.0588,"2017-02-03",0.43,0.46,0.45,0.46,0.1,90000000,,"ASX",1473030,-0.03,-0.03,0.05,-3270000,274.14,7.73,,0,,,"0.00"
"LVT",0.19,,,,0,-0.027000000000000003,"2017-02-03",0.18,0.18,0.18,0.3,0.1,61590000,,"ASX",6000,-0.04,-0.01,0.03,"0.00",97.61,6.85,,0,,,"0.00"
"LWP",0.001,,,,0,0,"2017-02-03",0.001,0.001,0.001,0.008,0.001,4560000,,"ASX",10730000,-0.002,,0.001,-6800000,,1,,0,,,"0.000"
"LYC",0.091,,,,0.002,0.02198,"2017-02-03",0.091,0.1,0.093,0.1,0.048,324420000,,"ASX",76381149,-0.027,-0.03,0.02,-43700000,1.662,4.55,,0,,,"0.000"
"M7T",0.34,,,,-0.015,-0.04412,"2017-02-03",0.32,0.34,0.325,0.8,0.31,30550000,,"ASX",79861,-0.28,,0.25,-4900000,17.189,1.36,,0,,,"0.000"
"MA1",0.87,,,,-0.04,-0.046,"2017-02-03",0.83,0.86,0.83,1.02,0.83,43550000,,"ASX",52966,0,,0.97,"0.00",52.09,0.89,,0,,,"0.00"
"MAH",0.147,0,0,"9/6/2012",0,0,"2017-02-03",0.145,0.15,0.147,0.16,0.085,175780000,,"ASX",539990,0.001,0.01,0.173,25470000,0.506,0.85,147,-1.01,14.7,,"0.000"
"MAI",0.55,,,,0,0,"2017-02-03",0.55,0.55,0.55,0.77,0.55,46380000,,"ASX",4006,0.01,0.03,0.13,1750000,2.59,4.26,42.31,0,18.33,18.33,"0.00"
"MAQ",11.22,,,"3/11/2016",0.53,0.0472,"2017-02-03",11.22,11.75,11.75,13.75,8.15,246360000,,"ASX",48,0.25,0.16,3.93,24720000,1.16,2.85,47.38,0,,,"0.00"
"MAT",0.185,,,,0.01,0.05405,"2017-02-03",0.185,0.195,0.195,0.32,0.12,28110000,,"ASX",485493,-0.011,,0.094,"-968052.00",,1.968,,0,,,"0.000"
"MAY",0.023,,,,0.003,0.13043,"2017-02-03",0.022,0.026,0.026,0.026,0.022,,,"ASX",2120000,-0.013,,0,"0.00",,,,0,,,"0.000"
"MBE",0.14,,,,-0.005,-0.03571,"2017-02-03",0.135,0.14,0.135,0.4,0.11,58890000,,"ASX",183330,0.011,0.02,0.092,7710000,1.008,1.522,12.273,0,,,"0.000"
"MBK",0.03,,,,-0.001,-0.03333,"2017-02-03",0.027,0.03,0.029,0.044,0.003,14780000,,"ASX",735250,-0.005,,0.006,"-484156.00",5115.823,5,,0,,,"0.000"
"MCA",0.06,,,,-0.001,-0.01667,"2017-02-03",0.058,0.06,0.059,0.06,0.058,20460000000,,"ASX",682666,,,0,"0.00",,,,0,,,"0.000"
"MCE",0.5,,,"9/14/2015",-0.005,-0.01,"2017-02-03",0.48,0.495,0.495,0.59,0.325,46410000,,"ASX",38579,-0.022,0,1.423,6900000,0.49,0.351,,0,,16.5,"0.000"
"MCP",1.05,,,"10/20/2016",0.04,0.0381,"2017-02-03",1.05,1.09,1.09,1.25,0.66,112620000,,"ASX",43294,0.11,0.14,1.01,20780000,0.35,1.04,9.82,-25.62,7.79,6.81,"0.00"
"MCR",0.28,0,0,"2/19/2015",-0.01,-0.035699999999999996,"2017-02-03",0.26,0.29,0.27,0.48,0.12,50980000,,"ASX",679329,-0.22,-0.04,0.13,-11990000,2.85,2.19,,0,,,"0.00"
"MCT",0.06,,,,0,0.0345,"2017-02-03",0.06,0.06,0.06,0.1,0.04,27000000,,"ASX",867333,-0.01,,0.01,-2580000,3327.29,8.29,,0,,,"0.00"
"MDC",0.8,,,,-0.015,-0.01875,"2017-02-03",0.755,0.79,0.785,0.9,0.18,126250000,,"ASX",21891,-0.022,0,0.016,-3580000,49.107,50,,0,,78.5,"0.000"
"MDL",0.58,,,,0,0,"2017-02-03",0.56,0.58,0.58,0.62,0.19,60130000,,"ASX",191292,-0.41,0.05,2.47,-50010000,,0.23,,-0.43,11.6,4.46,"0.00"
"MDR",0.035,,,,0.001,0.02857,"2017-02-03",0.035,0.036,0.036,0.052,0.026,24730000,,"ASX",116732,-0.005,,0.004,-2880000,16.864,8.75,,0,,,"0.000"
"MEA",0.74,,,"9/13/2016",-0.025,-0.033780000000000004,"2017-02-03",0.71,0.74,0.715,1.76,0.71,95920000,,"ASX",252294,0.082,0.09,0.718,18150000,0.821,1.031,8.72,0,8.938,7.944,"0.000"
"MEB",0.38,,,,-0.01,-0.0263,"2017-02-03",0.37,0.38,0.37,0.52,0.19,39330000,,"ASX",90000,-0.06,,0.08,-4300000,2183.66,4.69,,0,,,"0.00"
"MED",0.017,,,,0.001,0.05882,"2017-02-03",0.018,0.018,0.018,0.035,0.012,8119999.999999999,,"ASX",5389660,-0.01,,0.015,-1880000,9.69,1.133,,0,,,"0.000"
"MEL",0.042,,,,0,0,"2017-02-03",0.042,0.042,0.042,0.07,0.04,16850000,,"ASX",59710,0.053,0,0.072,-1960000,23.761,0.583,0.792,0,,,"0.000"
"MEP",0.076,,,,0.013,0.17105,"2017-02-03",0.08,0.09,0.089,0.135,0.05,18900000,,"ASX",1513488,-0.056,0,0.067,"-849987.00",47.135,1.134,,0,,,"0.000"
"MEU",0.022,,,,0.002,0.09090999999999999,"2017-02-03",0.021,0.024,0.024,0.031,0.01,9910000,,"ASX",1184377,-0.001,,0.01,"-406969.00",,2.2,,0,,,"0.000"
"MEZ",2.52,,,"9/29/2016",0.02,0.0079,"2017-02-03",2.5,2.56,2.54,3,2.05,6510000000,,"ASX",57579,0.05,,1.43,447830000,3.74,1.76,48.85,0,,,"0.00"
"MFD",1.15,,,,0,0,"2017-02-03",1.15,1.18,1.15,1.18,1.15,34500000,,"ASX",168658,0.03,,0.71,1310000,1.52,1.63,42.59,0,,,"0.00"
"MFF",1.82,,,,-0.02,-0.0083,"2017-02-03",1.8,1.84,1.8,1.96,1.59,,,"ASX",327883,-0.02,,0,"0.00",,,,0,,,"0.00"
"MFG",23.43,,,"8/17/2016",-0.15,-0.0064,"2017-02-03",23.28,23.7,23.28,26.05,19.72,3760000000,,"ASX",305428,1.15,1.12,2.2,261640000,11.35,10.63,20.16,1.58,20.79,17.5,"0.00"
"MGC",0.98,,,"9/5/2016",0,0.0051,"2017-02-03",0.95,0.98,0.98,2.52,0.82,200720000,,"ASX",405425,0.2,0.06,5.74,117100000,0.07,0.17,4.95,1.3,16.33,10.89,"0.00"
"MGE",2.58,,,,0.01,0.0039000000000000003,"2017-02-03",2.57,2.59,2.59,2.72,2.39,,,"ASX",645530,,,0,,,,,0,,,
"MGL",0.04,,,,0,-0.024399999999999998,"2017-02-03",0.04,0.04,0.04,0.05,0.02,45290000,,"ASX",10333,0,,0.03,3380000,0.34,1.37,,0,,,"0.00"
"MGR",2.04,,,"6/29/2016",0.02,0.0098,"2017-02-03",2.05,2.08,2.06,2.34,1.78,7630000000,,"ASX",7927446,0.28,0.14,1.94,708000000,3.1,1.05,7.38,3.34,14.71,13.73,"0.00"
"MGT",0.05,,,,0,-0.0196,"2017-02-03",0.05,0.05,0.05,0.08,0.01,21920000,,"ASX",80000,0,,0.02,-1760000,,3.19,,0,,,"0.00"
"MGV",0.075,,,,-0.001,-0.01333,"2017-02-03",0.074,0.074,0.074,0.13,0.016,13320000,,"ASX",6770,-0.05,,0.063,"-504226.00",176.535,1.19,,0,,,"0.000"
"MGX",0.38,,,"9/26/2014",-0.02,-0.0526,"2017-02-03",0.36,0.38,0.36,0.4,0.17,392860000,,"ASX",2965009,0.08,0.02,0.36,8930000,1.76,1.06,4.56,-0.1,18,36,"0.00"
"MHG",2.58,,,,-0.01,-0.0039000000000000003,"2017-02-03",2.57,2.57,2.57,2.58,2.2,,,"ASX",19545,,,0,,,,,0,,,
"MHJ",1.28,,,"9/7/2016",-0.045,-0.03516,"2017-02-03",1.22,1.275,1.235,1.825,1.15,,,"ASX",100457,0.051,0.09,0,"0.00",,,,0.81,13.722,12.35,"0.000"
"MIL",1.57,,,"9/13/2016",0.04,0.0255,"2017-02-03",1.57,1.63,1.61,2.32,1,73940000,,"ASX",77000,0.02,0.17,0.27,13030000,0.46,5.77,67.08,0,9.47,8.47,"0.00"
"MIN",12.53,3.37,0.31,"8/31/2016",0.07,0.005600000000000001,"2017-02-03",12.3,12.74,12.6,13.51,3.63,2350000000,,"ASX",1165270,-0.13,0.91,5.3,281450000,1.97,2.37,,-2.26,13.85,12.99,"0.00"
"MIR",2.89,,,,-0.03,-0.0104,"2017-02-03",2.81,2.88,2.86,3.12,2.5,446930000,,"ASX",114516,0.05,,2.13,"0.00",44.02,1.35,57.2,0,,,"0.00"
"MJP",0.26,,,,-0.035,-0.13462,"2017-02-03",0.225,0.26,0.225,0.68,0.225,89290000,,"ASX",141797,0.019,,0.064,-7960000,2875.986,4.062,11.842,0,,,"0.000"
"MLA",0.051,,,,0,0,"2017-02-03",0.051,0.051,0.051,0.06,0.04,6980000,,"ASX",51000,-0.032,,0.051,"510095.00",0.562,1,,0,,,"0.000"
"MLB",1.92,0,0,"9/8/2016",0.065,0.03385,"2017-02-03",1.92,1.99,1.985,2.2,1.65,199940000,,"ASX",50145,0.069,0.11,1.394,20750000,1.165,1.377,28.768,4.11,18.045,12.406,"0.000"
"MLD",1.63,,,"9/2/2016",0,-0.0031,"2017-02-03",1.62,1.65,1.63,1.95,0.69,379580000,,"ASX",70309,0.1,0.13,1.1,93950000,0.88,1.49,15.67,-0.65,12.54,8.58,"0.00"
"MLM",0.06,,,,0,0.0169,"2017-02-03",0.06,0.06,0.06,0.07,0.03,13640000,,"ASX",100000,-0.03,-0.61,0.02,-2270000,41.45,2.68,,0,,,"0.00"
"MLS",0.012,,,,0,0,"2017-02-03",0.011,0.015,0.012,0.016,0.001,9840000,,"ASX",79438536,0,,0.007,"-141900.00",,1.714,,0,,,"0.000"
"MLT",4.45,,,,0.01,0.0022,"2017-02-03",4.44,4.49,4.46,4.57,4.13,2900000000,,"ASX",171109,0.19,0.08,3.97,123940000,22.72,1.12,24.11,0,,,"0.00"
"MLX",0.78,0,0,"8/31/2015",0.01,0.0128,"2017-02-03",0.77,0.81,0.79,1.93,0.52,378950000,,"ASX",3799456,-0.05,0.06,0.82,60390000,1.06,0.95,,0,13.17,6.58,"0.00"
"MMI",0.16,,,,-0.005,-0.03125,"2017-02-03",0.155,0.16,0.155,0.16,0.045,65190000,,"ASX",108536,-0.018,-0.01,0.039,-3280000,480.653,4.103,,0,,,"0.000"
"MMJ",0.28,,,,-0.03,-0.0877,"2017-02-03",0.25,0.28,0.26,0.36,0.17,31350000,,"ASX",2454332,-0.11,0.03,0.11,-6360000,134.77,2.52,,0,,,"0.00"
"MML",0.42,0,0,"9/10/2012",-0.005,-0.011899999999999999,"2017-02-03",0.41,0.43,0.415,0.915,0.365,86230000,,"ASX",508786,0.207,0.2,1.128,69370000,0.681,0.372,2.005,-0.32,2.075,1.66,"0.000"
"MMS",10.45,,,"3/31/2016",0.01,0.001,"2017-02-03",10.4,10.58,10.46,15.54,9.6,870210000,,"ASX",204448,0.99,1.03,4.45,222070000,1.72,2.35,10.57,2.23,10.16,9.6,"0.00"
"MNC",0.08,,,,0,0.0127,"2017-02-03",0.08,0.08,0.08,0.3,0,6210000,,"ASX",21969,-0.81,-0.19,2.19,-4890000,1378.83,0.04,,0,,,"0.00"
"MND",10.34,,,"3/8/2016",0.07,0.0068000000000000005,"2017-02-03",10.32,10.47,10.41,11.92,5.62,975450000,,"ASX",385816,0.72,0.59,3.94,113020000,0.71,2.63,14.5,-1.41,17.64,18.93,"0.00"
"MNE",0.02,,,,0,0,"2017-02-03",0.02,0.02,0.02,0.4,0.01,2710000,,"ASX",524269,-0.01,,0.02,-1020000,,1.11,,0,,,"0.00"
"MNF",4.8,,,"9/2/2016",0,0,"2017-02-03",4.73,4.92,4.8,5.03,3.2,324020000,,"ASX",312034,0.13,0.19,0.58,16370000.000000002,2.01,8.3,35.82,0,25.26,19.2,"0.00"
"MNM",0.008,,,,0,0,"2017-02-03",0.007,0.008,0.008,0.025,0.007,9090000,,"ASX",261489,-0.005,,0.008,-1950000,,1,,0,,,"0.000"
"MNS",0.69,,,,0,0,"2017-02-03",0.68,0.7,0.69,1.12,0.28,295730000,,"ASX",1115764,-0.03,-0.02,0.02,-13450000,33832.18,43.12,,0,,,"0.00"
"MNW",0.078,,,,0.005,0.0641,"2017-02-03",0.079,0.085,0.083,0.13,0.054,47170000,,"ASX",1259065,-0.013,-0.01,-0.002,-5280000,8.866,,,0,,,"0.000"
"MNY",1.71,,,"3/17/2016",0.01,0.0058,"2017-02-03",1.7,1.72,1.72,1.95,0.87,262269999.99999997,,"ASX",80921,0.12,0.16,1.03,37780000,2.7,1.67,14.21,0,10.75,9.05,"0.00"
"MOC",2.48,,,"8/31/2016",0,0,"2017-02-03",2.45,2.5,2.48,2.5,1.63,306460000,,"ASX",70433,0.16,0.17,0.83,27930000,1.58,3,15.8,6.5,14.59,13.78,"0.00"
"MOD",0.038,,,,0,0,"2017-02-03",0.038,0.038,0.038,0.062,0.003,48750000,,"ASX",1261050,-0.002,,0.008,-1100000,,4.75,,0,,,"0.000"
"MOQ",0.35,,,,0,0,"2017-02-03",0.35,0.35,0.35,0.39,0.2,54150000,,"ASX",36854,0,0.02,0.11,"-479579.00",1.59,3.15,,0,17.5,11.67,"0.00"
"MOT",0.033,,,,0.003,0.09090999999999999,"2017-02-03",0.036,0.036,0.036,0.1,0.028,2350000,,"ASX",565000,-0.032,,0.004,-1310000,359.469,8.25,,0,,,"0.000"
"MOX",0.01,,,,0,0,"2017-02-03",0.01,0.01,0.01,0.03,0.01,3040000,,"ASX",68570,0,,0,"-430694.00",61.79,5,,0,,,"0.00"
"MOY",0.31,,,,-0.005,-0.01613,"2017-02-03",0.3,0.32,0.305,0.415,0.046,230790000,,"ASX",1950222,0.054,0.04,0.083,49740000,1.544,3.735,5.648,0,7.625,6.1,"0.000"
"MP1",2.4,,,,-0.02,-0.0083,"2017-02-03",2.37,2.44,2.38,3.8,1.55,166600000,,"ASX",109630,-0.39,-0.16,0.25,-20870000,57.48,9.8,,0,,,"0.00"
"MPL",2.72,,,"9/6/2016",-0.03,-0.011000000000000001,"2017-02-03",2.68,2.74,2.69,3.32,2.36,7410000000,,"ASX",4671999,0.15,,0.57,572800000,1.1,4.75,17.7,0,,,"0.00"
"MPO",0.14,,,,-0.005,-0.03571,"2017-02-03",0.135,0.135,0.135,0.17,0.115,33620000,,"ASX",30000,0.004,0.02,0.236,"0.00",,0.593,33.75,0,,,"0.000"
"MQA",5.09,3.8,0.14,"9/21/2016",0.09,0.0177,"2017-02-03",5.08,5.21,5.18,6,4.05,2680000000,,"ASX",1340120,0.19,0.15,1.66,"0.00",661.64,3.06,27.12,1.14,34.53,21.58,"0.00"
"MQG",83.92,5.43,3.4,"11/8/2016",-0.41,-0.0049,"2017-02-03",83.39,84.34,83.51,89.49,58.28,26770000000,,"ASX",488832,5.95,6.16,46.55,"0.00",2.64,1.8,14.03,2.44,13.56,13.05,"0.00"
"MRC",0.105,,,"3/4/2016",0,0,"2017-02-03",0.105,0.105,0.105,0.17,0.085,42520000,,"ASX",61500,0.023,0.03,0.079,15790000,1.393,1.329,4.565,0,,,"0.000"
"MRD",0.008,,,,0.001,0.125,"2017-02-03",0.008,0.009,0.009,0.026,0.006,9530000,,"ASX",1416111,-0.002,,0.002,-2860000,457.646,4,,0,,,"0.000"
"MRG",1.34,,,,-0.035,-0.02612,"2017-02-03",1.305,1.34,1.305,1.37,1.305,113650000,,"ASX",266986,0.03,0.08,0.342,7200000,8.395,3.918,43.5,0,,,"0.000"
"MRM",0.27,0,0,"9/4/2015",0.01,0.037000000000000005,"2017-02-03",0.28,0.28,0.28,0.51,0.26,104460000,,"ASX",78360,-0.39,-0.12,1.7,74550000,0.21,0.16,,0.23,,,"0.00"
"MRN",0.905,,,"8/31/2016",0,0,"2017-02-03",0.905,0.905,0.905,1.12,0.72,154760000,,"ASX",4000,0.078,0.1,1.021,25440000,1.141,0.886,11.603,0,,,"0.000"
"MRP",0.088,,,,-0.007,-0.07955,"2017-02-03",0.081,0.083,0.081,0.125,0.071,25690000,,"ASX",74500,-0.021,,0.082,-2820000,189.42,1.073,,0,,,"0.000"
"MRQ",0.015,,,,0,0,"2017-02-03",0.015,0.015,0.015,0.055,0.004,2029999.9999999998,,"ASX",578019,-0.012,,0.026,"-618282.00",547.706,0.577,,0,,,"0.000"
"MRV",0.005,,,,0,0,"2017-02-03",0.005,0.005,0.005,0.006,0.003,9150000,,"ASX",796010,-0.001,,0.006,-1530000,107.511,0.833,,0,,,"0.000"
"MSB",1.48,,,,0.07,0.0508,"2017-02-03",1.5,1.57,1.55,3.03,1.01,585630000,,"ASX",370326,-0.03,-0.22,1.35,-61030000,15.73,1.09,,21.38,,,"0.00"
"MSG",0.027,,,,-0.001,-0.037040000000000003,"2017-02-03",0.026,0.027,0.026,0.067,0.021,5240000,,"ASX",270299,-0.044,,0.009,-1220000,0.46,3,,0,,,"0.000"
"MSM",0.23,,,,0.025,0.10869999999999999,"2017-02-03",0.235,0.255,0.255,0.4,0.08,77600000,,"ASX",556531,-0.05,,0.015,"0.00",,15.333,,0,,,"0.000"
"MSP",0.024,,,,0.003,0.125,"2017-02-03",0.024,0.027,0.027,0.043,0.016,11080000,,"ASX",1146670,-0.003,,0.022,-1360000,2.245,1.091,,0,,,"0.000"
"MSR",0.005,,,,0,0,"2017-02-03",0.005,0.005,0.005,0.005,0.001,10610000,,"ASX",2900000,-0.019,,0.006,-1800000,353.682,0.833,,0,,,"0.000"
"MSV",0.032,,,"3/30/2012",0,0,"2017-02-03",0.032,0.032,0.032,0.046,0.013,47250000,,"ASX",15540,-0.004,0,0.013,"553677.00",1.433,2.462,,0,,,"0.000"
"MTB",0.01,,,,0,0,"2017-02-03",0.01,0.01,0.01,0.02,0,1830000,,"ASX",250000,0,,-0.02,"-264896.00",9606.12,,,0,,,"0.00"
"MTO",4.04,,,,-0.08,-0.019799999999999998,"2017-02-03",3.9,4.04,3.96,4.38,2.5,150280000,,"ASX",15816,0.19,0.23,0.93,10890000,0.78,4.36,21.18,0.81,17.22,15.84,"0.00"
"MTR",2.85,,,"8/25/2016",0.07,0.0246,"2017-02-03",2.86,2.93,2.92,4.95,2.7,866510000,,"ASX",1883786,0.14,0.18,1.56,89820000,1.4,1.83,21.31,2.14,16.22,14.6,"0.00"
"MTS",2.13,0,0,"12/4/2014",0,0,"2017-02-03",2.12,2.15,2.13,2.38,1.55,1990000000,,"ASX",3228046,0.18,0.19,1.63,190000000,0.15,1.3,11.77,3.88,11.21,10.14,"0.00"
"MUA",0.8,,,,0.025,0.03125,"2017-02-03",0.8,0.835,0.825,1.25,0.77,172280000,,"ASX",54480,0.026,0.05,0.181,11050000,6.614,4.42,31.731,0,16.5,11.786,"0.000"
"MUS",0.061,,,,-0.002,-0.03279,"2017-02-03",0.058,0.061,0.059,0.12,0.02,19100000,,"ASX",13648080,-0.082,,0.092,-3860000,,0.663,,0,,,"0.000"
"MVA",19.19,,,,0.21,0.0109,"2017-02-03",19.4,19.42,19.4,22.98,18.24,,,"ASX",5694,,,0,,,,,0,,,
"MVB",27.25,,,,-0.12,-0.0044,"2017-02-03",27.13,27.18,27.13,28.87,21.72,,,"ASX",25156,,,0,,,,,0,,,
"MVE",23.48,,,,-0.16,-0.0068000000000000005,"2017-02-03",23.32,23.32,23.32,24.54,7.67,,,"ASX",491,,,0,,,,,0,,,
