symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
CFO,0.55,0.55,,,,0.01,0.0182,30/1/17,0.55,0.57,0.56,0.8,0.45,21010000,,ASX,162160,-0.28,,0.01,0,6004.54,36.67,,0,,,0
CGC,3.33,3.34,,,3/21/2016,-0.05,-0.015,30/1/17,3.27,3.36,3.28,3.55,2.35,1050000000,,ASX,684382,0.08,0.17,1.13,56260000,1.29,2.95,41,0,19.29,17.26,0
CGF,11.2,11.08,,,9/1/16,-0.14,-0.0125,30/1/17,10.93,11.2,11.06,11.89,6.58,6180000000,,ASX,1386143,0.55,0.67,4.8,649500000,3.45,2.33,19.96,1.89,16.51,14.95,0
CGL,5,5.03,,,8/25/2016,0.03,0.006,30/1/17,5.02,5.03,5.03,5.8,3.01,235050000,,ASX,82480,0.17,0.25,1.3,17810000,2.83,3.83,29.59,0,20.12,14.79,0
CGM,0.01,0.01,,,,-0.001,-0.1,30/1/17,0.009,0.01,0.009,0.022,0.001,5990000,,ASX,457295,-0.002,,-0.005,-1260000,3.052,,,0,,,0
CGS,1.3,1.3,,,,0,0,30/1/17,1.3,1.3,1.3,1.39,0.5,145430000,,ASX,73232,0.02,0.03,0.12,1570000,5.34,10.57,56.52,0,43.33,32.5,0
CHC,4.7,4.7,,,6/29/2016,-0.02,-0.0043,30/1/17,4.66,4.74,4.68,5.91,4.24,1930000000,,ASX,892743,0.52,0.32,3.21,235250000,5.65,1.46,9,2.52,14.62,14.18,0
CHK,0.014,0.014,,,,-0.002,-0.14286,30/1/17,0.012,0.014,0.012,0.038,0.01,1970000,,ASX,3673133,-0.009,,0.005,-1030000,661.438,2.8,,0,,,0
CHN,0.17,0.17,,,,-0.01,-0.0588,30/1/17,0.16,0.17,0.16,0.21,0.1,43240000,,ASX,205207,0.03,-0.01,0.22,-2350000,135.76,0.78,6.15,0,,,0
CHZ,0.044,0.044,,,,-0.002,-0.04545,30/1/17,0.042,0.044,0.042,0.046,0.029,5010000,,ASX,671070,-0.003,-0.02,0.033,-357780,46.244,1.333,,0,,,0
CIA,1.1,1.08,,,,0.045,0.04091,30/1/17,1.05,1.18,1.145,1.34,0.13,441890000,,ASX,1280940,-0.045,-0.01,0.198,-12750000,2455.729,5.556,,0,,,0
CIE,0.96,0.96,,,2/17/2016,0,-0.0052,30/1/17,0.96,0.98,0.96,1.05,0.91,,,ASX,394608,,,0,0,,,,0,,,0
CIM,34.91,34.7,,,9/12/16,0.02,0.0006,30/1/17,34.34,35.04,34.93,39.82,22.96,11520000000,,ASX,204982,1.63,1.56,11.28,1270000000,1.09,3.09,21.39,16.03,22.39,21.04,0
CIN,32.36,32.42,,,,0.24,0.0074,30/1/17,32.42,32.6,32.6,33,29.55,863050000,,ASX,3845,1.58,,29.33,0,19.79,1.1,20.65,0,,,0
CIO,0.023,0.024,,,,0,0,30/1/17,0.023,0.024,0.023,0.024,0.023,18170000,,ASX,369247,-0.003,,0.01,-2620000,76.709,2.3,,0,,,0
