"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh"
"AZJ",5.03,6.4,0.24,"8/29/2016",-0.09,-0.0179,"2017-02-06",4.93,5.08,4.94,5.3,3.35,10140000000,,"ASX",4899521,0.03,0.27,2.79,1400000000,2.98,1.81,145.29,4.92,18.3,18.3,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AZM",0.032,,,,0.001,0.03125,"2017-02-06",0.033,0.035,0.033,0.066,0.025,19220000,,"ASX",2823313,-0.01,-0.04,0.001,-3290000,586.376,32,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AZS",0.018,,,,-0.001,-0.05556,"2017-02-06",0.017,0.018,0.017,0.053,0.016,28430000,,"ASX",7752926,-0.005,,0.011,-6220000,51.066,1.636,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AZV",0.081,,,"3/14/2008",0,0,"2017-02-06",0.081,0.083,0.081,0.104,0.04,15370000,,"ASX",61534,-0.019,0.01,0.064,-3830000,0.487,1.266,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AZY",0.018,,,,0,0,"2017-02-06",0.018,0.02,0.018,0.068,0.014,16250000,,"ASX",1433569,-0.003,,0.017,-1590000,74.597,1.059,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"BAF",1.13,,,"10/20/2015",0.02,0.0177,"2017-02-06",1.14,1.15,1.15,1.26,0.95,196690000000,,"ASX",201590,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"BAL",4.28,,,"8/26/2016",0.32,0.0748,"2017-02-06",4.3,4.6,4.6,15.38,3.73,444620000,,"ASX",1982186,0.39,0.17,0.86,54040000,1.69,4.97,11.92,0.58,27.06,27.06,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"BAP",5.63,,,"8/30/2016",-0.15,-0.026600000000000002,"2017-02-06",5.44,5.68,5.48,6.56,3.98,1350000000,,"ASX",928092,0.18,0.23,1.49,76840000,2.02,3.78,30.79,1.12,23.83,18.9,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"BAR",0.08,,,,0,0,"2017-02-06",0.08,0.08,0.08,0.09,0.01,29860000,,"ASX",1110534,0,,0.03,"-15838.00",36.87,3.2,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"BAS",0.001,,,,0,0,"2017-02-06",0.001,0.002,0.001,0.002,0.001,1290000,,"ASX",33606313,-0.005,,0.001,"-574889.00",36.801,1,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
