"symbol","previousClose","open","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"AWV",0.12,0.12,,,,-0.01,-0.04,"2017-02-02",0.12,0.13,0.12,0.19,0.04,43460000,,"ASX",264500,-0.01,,0.03,-2200000,2787.52,3.68,,0,,,"0.00"
"AXE",0.07,0.07,,,,0,0,"2017-02-02",0.07,0.07,0.07,0.12,0.06,7710000,,"ASX",116972,-0.01,,0.14,-1250000,119.53,0.5,,0,,,"0.00"
"AXL",1.34,1.35,,,,0.03,0.022400000000000003,"2017-02-02",1.33,1.38,1.37,1.38,1.07,37810000,,"ASX",17500,0.06,,0.24,"0.00",7,5.56,23.22,0,,,"0.00"
"AXP",0.98,1,,,,0.02,0.0204,"2017-02-02",0.98,1,1,1.49,0.78,237600000,,"ASX",104920,-0.06,-0.05,0.09,-14960000,503.94,10.32,,0,,,"0.00"
"AXZ",0.37,0.38,,,,0.01,0.027000000000000003,"2017-02-02",0.38,0.38,0.38,0.4,0.08,41060000,,"ASX",13000,-0.17,,-0.08,-5470000,1019.56,,,0,,,"0.00"
"AYR",0.008,0.009,,,,0.001,0.125,"2017-02-02",0.009,0.01,0.009,0.018,0.005,6410000,,"ASX",13700183,-0.001,,0.005,"-351880.00",,1.6,,0,,,"0.000"
"AYS",2,2,,,"3/23/2016",-0.065,-0.0325,"2017-02-02",1.925,2.01,1.935,3.28,1.3,348820000,,"ASX",291543,0.066,0.15,0.179,32860000,1.422,11.173,29.318,0.42,12.9,11.382,"0.000"
"AZJ",5.07,5.07,6.4,0.24,"8/29/2016",-0.05,-0.009899999999999999,"2017-02-02",4.99,5.1,5.02,5.3,3.35,10300000000,,"ASX",11601859,0.03,0.27,2.79,1400000000,3.01,1.82,147.65,4.9,18.59,17.93,"0.00"
"AZM",0.03,0.028,,,,0.003,0.1,"2017-02-02",0.028,0.033,0.033,0.066,0.025,19220000,,"ASX",2044240,-0.01,-0.04,0.001,-3290000,549.728,30,,0,,,"0.000"
"AZS",0.02,0.02,,,,-0.002,-0.1,"2017-02-02",0.018,0.02,0.018,0.053,0.016,30100000,,"ASX",3607043,-0.005,,0.011,-6220000,56.74,1.818,,0,,,"0.000"
"AZY",0.019,0.018,,,,-0.001,-0.052629999999999996,"2017-02-02",0.018,0.018,0.018,0.068,0.012,16250000,,"ASX",505470,-0.003,,0.017,-1590000,78.742,1.118,,0,,,"0.000"
"BAF",1.14,1.14,,,"10/20/2015",-0.01,-0.0131,"2017-02-02",1.13,1.15,1.13,1.26,0.95,193270000000,,"ASX",159631,,,0,"0.00",,,,0,,,"0.00"
"BAL",4.2,4.22,,,"8/26/2016",0.06,0.0143,"2017-02-02",4.2,4.33,4.26,15.38,3.73,411750000,,"ASX",812873,0.39,0.17,0.86,54040000,1.66,4.88,11.04,0.51,25.06,25.06,"0.00"
"BAP",5.5,5.5,,,"8/30/2016",0.05,0.0091,"2017-02-02",5.47,5.57,5.55,6.56,3.98,1360000000,,"ASX",1132676,0.18,0.23,1.49,76840000,1.97,3.69,31.18,1.11,24.13,19.14,"0.00"
"BAR",0.085,0.088,,,,-0.003,-0.03529,"2017-02-02",0.079,0.089,0.082,0.089,0.014,30610000,,"ASX",8059238,0,,0.025,"-15838.00",39.172,3.4,,0,,,"0.000"
"BAS",0.001,0.002,,,,0,0,"2017-02-02",0.001,0.002,0.001,0.002,0.001,1290000,,"ASX",1550000,-0.005,,0.001,"-574889.00",36.801,1,,0,,,"0.000"
"BAT",0.094,0.094,,,,0.002,0.02128,"2017-02-02",0.094,0.1,0.096,0.14,0.04,28370000,,"ASX",2243379,-0.054,,0.027,-1680000,284.32,3.481,,0,,,"0.000"
"BAU",0.066,0.066,,,,0.002,0.030299999999999997,"2017-02-02",0.066,0.069,0.068,0.115,0.058,14580000,,"ASX",188542,0.019,,0.092,-2000000,101.379,0.717,3.579,0,,,"0.000"
"BBG",1.38,1.38,0,0,"3/13/2012",0.005,0.00362,"2017-02-02",1.38,1.43,1.385,1.865,0.995,273770000,,"ASX",51230,-0.12,-0.04,1.312,59780000,0.247,1.052,,-0.1,,46.167,"0.000"
"BBN",2.41,2.4,,,"8/25/2016",0.01,0.0040999999999999995,"2017-02-02",2.4,2.45,2.42,3.21,2.12,303920000,,"ASX",560758,0.07,0.11,0.74,17880000,1.28,3.27,34.57,0,22,18.62,"0.00"
"BBX",0.052,0.052,,,"4/10/2007",0.002,0.03846,"2017-02-02",0.052,0.054,0.054,0.065,0.012,13300000,,"ASX",48000,-0.005,,0.006,-1030000,,8.667,,0,,,"0.000"
"BCI",0.25,0.25,0,0,"9/1/2014",0,0.0196,"2017-02-02",0.25,0.26,0.26,0.29,0.06,51010000,,"ASX",533634,-0.41,0.02,0.39,-7820000,0.33,0.65,,0,,,"0.00"
"BCL",0.63,0.65,,,,0.065,0.10317,"2017-02-02",0.65,0.695,0.695,0.735,0.5,107080000,,"ASX",28037,-0.463,,1.879,-93420000,1.587,0.335,,0,,,"0.000"
"BCN",0.02,0.022,,,,-0.002,-0.1,"2017-02-02",0.018,0.022,0.018,0.022,0.003,26920000,,"ASX",67592329,-0.001,,0.003,-1150000,10.149,6.667,,0,,,"0.000"
"BCT",0.04,0.04,,,,0,-0.047599999999999996,"2017-02-02",0.04,0.04,0.04,0.04,0.02,8060000.000000001,,"ASX",412500,-0.01,-0.02,0,-2290000,54.32,8.4,,0,,,"0.00"
"BD1",0.024,0.028,,,,0.004,0.16667,"2017-02-02",0.028,0.028,0.028,0.046,0.019,15460000,,"ASX",340000,-0.024,,0.005,"-246871.00",,4.8,,0,,,"0.000"
"BDA",0.2,0.2,,,,0,0,"2017-02-02",0.19,0.21,0.2,0.3,0.17,2000000,,"ASX",789587,-0.04,,-0.04,"-424694.00",14.49,,,0,,,"0.00"
"BDI",0.001,0.001,,,,0,0,"2017-02-02",0.001,0.001,0.001,0.002,0.001,2540000,,"ASX",1500000,0,,0,"0.00",,,,0,,,"0.000"
"BDR",0.315,0.32,0,0,"3/27/2015",0.03,0.09523999999999999,"2017-02-02",0.32,0.347,0.345,0.55,0.15,364000000,,"ASX",13379369,-0.014,0.04,0.198,28720000,1.6,1.591,,0.55,8.625,5.75,"0.000"
"BEE",0.35,0.37,,,,0.01,0.0141,"2017-02-02",0.35,0.37,0.36,0.61,0.22,200090000,,"ASX",250311,0,,0,-1510000,382.15,,,0,,,"0.00"
"BEN",12.54,12.63,7.82,0.74,"9/6/2016",-0.05,-0.004,"2017-02-02",12.46,12.68,12.49,13.39,8,5790000000,,"ASX",1392356,0.81,0.89,11.03,"0.00",4.07,1.14,15.36,4.56,14.03,14.03,"0.00"
"BFC",0.31,0.31,,,"9/7/2016",0,0.016399999999999998,"2017-02-02",0.31,0.31,0.31,0.6,0.31,132460000.00000001,,"ASX",273121,0,0.03,0.32,-3850000,7.54,0.95,,0,,,"0.00"
"BFG",0.73,0.73,,,"8/23/2016",0.03,0.041100000000000005,"2017-02-02",0.71,0.77,0.76,0.85,0.44,197840000,,"ASX",442804,0.06,,0.71,"0.00",1.09,1.03,12.67,0,,,"0.00"
"BGA",5.12,5.09,,,"8/30/2016",-0.02,-0.0039000000000000003,"2017-02-02",5.08,5.12,5.1,7.28,3.82,778270000,,"ASX",284386,0.19,0.18,2.15,63820000,0.65,2.38,26.98,2.74,28.33,21.25,"0.00"
"BGH",0.03,0.03,,,,0,0.15380000000000002,"2017-02-02",0.03,0.03,0.03,0.06,0,3490000,,"ASX",150000,-0.01,,0.03,"-731426.00",835.94,0.87,,0,,3,"0.00"
"BGS",0.31,0.315,,,,-0.005,-0.01613,"2017-02-02",0.295,0.32,0.305,0.53,0.043,54320000,,"ASX",2653057,-0.006,,0.071,"-942589.00",,4.366,,0,,,"0.000"
