symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
WMN,0.016,0.015,,,,-0.001,-0.0625,1/2/17,0.015,0.015,0.015,1.966,0.001,2140000,,ASX,4644800,-0.394,,-0.013,-1220000,16.836,,,0,,,0,
WNR,0.295,0.325,,,,0.03,0.10169,1/2/17,0.325,0.325,0.325,0.4,0.125,25130000,,ASX,5000,-0.107,,0.055,1230000,2.198,5.364,,0,,,0,
WOF,0.03,0.03,,,,0.003,0.1,1/2/17,0.03,0.033,0.033,0.036,0.004,12660000,,ASX,261114,-0.004,,0.028,-1230000,,1.071,,0,,,0,
WOR,9.89,9.85,0,0,8/31/2015,0.06,0.0061,1/2/17,9.85,10.1,9.95,10.35,3,2470000000,,ASX,1064841,0.09,0.56,7.6,210900000,0.32,1.3,104.74,1.34,17.77,15.31,0,
WOW,24.6,25,4.37,0.83,9/8/16,0.49,0.0199,1/2/17,24.93,25.15,25.09,26.05,20.3,31980000000,,ASX,8437013,-0.98,1.2,6.64,3590000000,0.54,3.7,,24.67,20.91,19.45,0,
WPG,0.074,0.075,,,10/10/11,-0.003,-0.04054,1/2/17,0.071,0.078,0.071,0.115,0.029,31760000,,ASX,1352808,-0.023,0.01,0.014,-6000000,21.85,5.286,,0,7.1,7.1,0,
WPL,31.56,31.56,4.72,1.13,8/29/2016,0.44,0.0139,1/2/17,31.55,32.16,32,32.59,23.82,26960000000,,ASX,2520327,-0.38,1.04,17.34,2740000000,6.03,1.82,,7.52,30.77,24.62,0,
WPP,1.06,1.06,,,9/5/16,-0.005,-0.00472,1/2/17,1.052,1.095,1.055,1.33,0.81,,,ASX,485045,0.077,0.1,0,0,,,,0,,,0,
WQW,0.47,0.47,,,,-0.015,-0.03191,1/2/17,0.455,0.47,0.455,0.7,0.45,43800000000,,ASX,199126,,,0.401,16920000,785.068,1.172,,0,,,0,
WRM,0.016,0.016,,,,0,0,1/2/17,0.016,0.016,0.016,0.031,0.008,7040000,,ASX,7178330,-0.006,,0.029,-1260000,,0.552,,0,,,0,
WSA,2.45,2.52,0,0,9/8/15,0.03,0.0122,1/2/17,2.46,2.53,2.48,3.44,1.84,671890000,,ASX,1621072,-0.11,0.05,1.6,30760000,3.17,1.53,,1.1,49.6,16.53,0,
WSI,0.015,0.015,,,,0,0,1/2/17,0.015,0.015,0.015,0.055,0.015,2990000,,ASX,465667,-0.036,,-0.03,0,220.473,,,0,,,0,
WTC,4.8,4.85,,,,0.4,0.0833,1/2/17,4.75,5.2,5.2,6.15,3.74,1510000000,,ASX,460164,0.01,0.1,0.68,25530000,13.57,7.11,650,1.26,52,37.14,0,
WTP,0.75,0.75,,,3/4/15,0,0,1/2/17,0.74,0.75,0.75,1.07,0.73,139510000,,ASX,173399,-0.11,0.09,1.24,14770000,0.11,0.6,,2.39,8.33,8.33,0,
XAM,0.215,0.22,,,,0,0,1/2/17,0.215,0.22,0.215,0.26,0.091,109910000,,ASX,315613,-0.006,,0.081,-1630000,77.567,2.654,,0,,,0,
XF1,0.5,0.51,,,,0.01,0.02,1/2/17,0.51,0.51,0.51,0.77,0.33,,,ASX,10000,-0.12,,0,0,,,,0,,,0,
XIP,2.7,2.7,,,,0.05,0.0185,1/2/17,2.7,2.77,2.75,3.99,2.45,96940000,,ASX,9015,0.21,0.2,0.14,10510000,2.96,19.71,13.35,1.93,13.75,12.5,0,
XPD,0.088,0.082,,,5/12/16,-0.001,-0.01136,1/2/17,0.081,0.087,0.087,0.205,0.08,37800000,,ASX,226761,0.047,0.02,0.178,20330000,0.342,0.494,1.851,0,4.35,2.9,0,
